ID;ROW_NUMBER;COMPANY_CODE;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;BANK_CASH_ACCOUNT;ACCOUNTS_RECEIVABLE;BANK_LOAN;ACCOUNTS_PAYABLE;PROFIT;SETUP_TIME_INVESTMENT;DEBT_LOADING;CREDIT_RATING;COMPANY_RISK_RATE_PCT;MARKET_RISK_RATE_PCT;COMPANY_VALUATION;CURRENCY
.1~1;1;A5;01;01;01/01;01/01/2021 00:00;1;1;250000;0;0;0;0;0;-250000;AAA+;3;7;0;EUR
.1~2;2;A5;01;02;01/02;02/01/2021 00:00;1;2;249120,8;0;0;-205182,28;-879,2;0;-43938,52;AAA+;3;7;-351680;EUR
.1~3;3;A5;01;03;01/03;03/01/2021 00:00;1;3;248790,8;0;0;-205182,28;-1209,2;0;-43608,52;AAA+;3;7;-322453,33;EUR
.1~4;4;A5;01;04;01/04;04/01/2021 00:00;1;4;248775,8;30102;0;-205182,28;2142,48;0;-73695,52;AAA+;3;7;428496;EUR
.1~5;5;A5;01;05;01/05;05/01/2021 00:00;1;5;248693,8;53765;0;-205182,28;4206,11;0;-97276,52;AAA+;3;7;672977,6;EUR
.1~6;6;A5;01;06;01/06;06/01/2021 00:00;2;6;248681,8;71531;0;-205182,28;5960,77;0;-115030,52;AAA+;3;7;794769,33;EUR
.1~7;7;A5;01;07;01/07;07/01/2021 00:00;2;7;43487,52;85811;0;0;8069,58;0;-129298,52;AAA+;3;7;922237,71;EUR
.1~8;8;A5;01;08;01/08;08/01/2021 00:00;2;8;73574,52;83588;0;0;11832,03;0;-157162,52;AAA+;3;7;1183203;EUR
.1~9;9;A5;01;09;01/09;09/01/2021 00:00;2;9;97225,52;74764;0;0;13919,73;0;-171989,52;AAA+;3;7;1237309,33;EUR
.1~10;10;A5;01;10;01/10;10/01/2021 00:00;2;10;114909,52;69854;0;0;15136,11;0;-184763,52;AAA+;3;7;1210888,8;EUR
.1~11;11;A5;02;01;02/01;11/01/2021 00:00;3;11;129183,52;62678;0;0;15752,03;0;-191861,52;AAA+;3;7;1145602,18;EUR
.1~12;12;A5;02;02;02/02;12/01/2021 00:00;3;12;157056,52;38250;0;0;16384,66;0;-195306,52;AAA+;3;7;1092310,67;EUR
.1~13;13;A5;02;03;02/03;13/01/2021 00:00;3;13;171886,52;28169;0;0;17054,08;0;-200055,52;AAA+;3;7;1049481,85;EUR
.1~14;14;A5;02;04;02/04;14/01/2021 00:00;3;14;184056,52;24395;0;-134781,64;17094,45;0;-73669,88;AAA+;3;7;976825,71;EUR
.1~15;15;A5;02;05;02/05;15/01/2021 00:00;3;15;190705,52;28868;0;-134781,64;17707,45;0;-84791,88;AAA+;3;7;944397,33;EUR
.1~16;16;A5;02;06;02/06;16/01/2021 00:00;4;16;193820,52;31264;0;-134781,64;18293,78;0;-90302,88;AAA+;3;7;914689;EUR
.1~17;17;A5;02;07;02/07;17/01/2021 00:00;4;17;198566,52;48421;0;-134781,64;20881,27;0;-112205,88;AAA+;3;7;982648;EUR
.1~18;18;A5;02;08;02/08;18/01/2021 00:00;4;18;207633,52;53125;0;-134781,64;22330,86;0;-125976,88;AAA+;3;7;992482,67;EUR
.1~19;19;A5;02;09;02/09;19/01/2021 00:00;4;19;84413,88;62335;0;0;24770,25;0;-146748,88;AAA+;3;7;1042957,89;EUR
.1~20;20;A5;02;10;02/10;20/01/2021 00:00;4;20;90181,88;69845;0;0;26094,73;0;-160026,88;AAA+;3;7;1043789,2;EUR
.1~21;21;A5;03;01;03/01;21/01/2021 00:00;5;21;112084,88;67721;0;0;28777,83;0;-179805,88;AAA+;3;7;1096298,29;EUR
.1~22;22;A5;03;02;03/02;22/01/2021 00:00;5;22;125861,88;59578;0;0;29578,58;0;-185439,88;AAA+;3;7;1075584,73;EUR
.1~23;23;A5;03;03;03/03;23/01/2021 00:00;5;23;146260,28;44346;0;-70603,97;29673,66;0;-120002,31;AAA+;3;7;1032127,3;EUR
.1~24;24;A5;03;04;03/04;24/01/2021 00:00;5;24;159611,28;37130;0;-70603,97;30094,79;0;-126137,31;AAA+;3;7;1003159,67;EUR
.1~25;25;A5;03;05;03/05;25/01/2021 00:00;5;25;178996,28;23739;0;-70603,97;30185,4;0;-132131,31;AAA+;3;7;965932,8;EUR
.1~26;26;A5;03;06;03/06;26/01/2021 00:00;6;26;184624,28;46431;0;-70603,97;33908,79;0;-160451,31;AAA+;3;7;1043347,38;EUR
.1~27;27;A5;03;07;03/07;27/01/2021 00:00;6;27;190164,28;58343;0;-70603,97;35975,12;0;-177903,31;AAA+;3;7;1065929,48;EUR
.1~28;28;A5;03;08;03/08;28/01/2021 00:00;6;28;125686,31;71767;0;0;38318,42;0;-197453,31;AAA+;3;7;1094812;EUR
.1~29;29;A5;03;09;03/09;29/01/2021 00:00;6;29;132074,31;80779;0;0;40668,56;0;-212853,31;AAA+;3;7;1121891,31;EUR
.1~30;30;A5;03;10;03/10;30/01/2021 00:00;6;30;160327,31;65902;0;0;42114,25;0;-226229,31;AAA+;3;7;1123046,67;EUR
.1~31;31;A5;04;01;04/01;31/01/2021 00:00;7;31;177782,31;59511;0;0;43099,11;0;-237293,31;AAA+;3;7;1112235,1;EUR
.1~32;32;A5;04;02;04/02;01/02/2021 00:00;7;32;197341,31;44021;0;0;43544,37;0;-241362,31;AAA+;3;7;1088609,25;EUR
.1~33;33;A5;04;03;04/03;02/02/2021 00:00;7;33;212129,11;37721;0;-124705,61;43680,52;0;-125144,5;AAA+;3;7;1058921,7;EUR
.1~34;34;A5;04;04;04/04;03/02/2021 00:00;7;34;225248,11;32377;0;-124705,61;44011,83;0;-132919,5;AAA+;3;7;1035572,47;EUR
.1~35;35;A5;04;05;04/05;04/02/2021 00:00;7;35;236236,11;40648;0;-124705,61;46273,32;0;-152178,5;AAA+;3;7;1057675,89;EUR
.1~36;36;A5;04;06;04/06;05/02/2021 00:00;8;36;240299,11;58086;0;-124705,61;49221,41;0;-173679,5;AAA+;3;7;1093809,11;EUR
.1~37;37;A5;04;07;04/07;06/02/2021 00:00;8;37;249396,11;79893;0;-124705,61;51984,63;0;-204583,5;AAA+;3;7;1123992;EUR
.1~38;38;A5;04;08;04/08;07/02/2021 00:00;8;38;132789,5;95256;0;0;55521,42;0;-228045,5;AAA+;3;7;1168872;EUR
.1~39;39;A5;04;09;04/09;08/02/2021 00:00;8;39;152124,5;93318;0;0;57236,82;0;-245442,5;AAA+;3;7;1174088,62;EUR
.1~40;40;A5;04;10;04/10;09/02/2021 00:00;8;40;173558,5;84706;0;0;58476,35;0;-258264,5;AAA+;3;7;1169527;EUR
.1~41;41;A5;05;01;05/01;10/02/2021 00:00;9;41;204135,5;58934;0;0;59076,68;0;-263069,5;AAA+;3;7;1152715,71;EUR
.1~42;42;A5;05;02;05/02;11/02/2021 00:00;9;42;226843,1;39648;0;-153717,54;59028,61;0;-112773,56;AAA+;3;7;1124354,48;EUR
.1~43;43;A5;05;03;05/03;12/02/2021 00:00;9;43;243913,1;30585;0;-153717,54;60092,1;0;-120780,56;AAA+;3;7;1117992,56;EUR
.1~44;44;A5;05;04;05/04;13/02/2021 00:00;9;44;256799,1;40250;0;-153717,54;63868,77;0;-143331,56;AAA+;3;7;1161250,36;EUR
.1~45;45;A5;05;05;05/05;14/02/2021 00:00;9;45;261861,1;58837;0;-153717,54;66391,78;0;-166980,56;AAA+;3;7;1180298,31;EUR
.1~46;46;A5;05;06;05/06;15/02/2021 00:00;10;46;266043,1;82050;0;-153717,54;69099,69;0;-194375,56;AAA+;3;7;1201733,74;EUR
.1~47;47;A5;05;07;05/07;16/02/2021 00:00;10;47;120656,56;87540;0;0;70760,8;0;-208196,56;AAA+;3;7;1204439,15;EUR
.1~48;48;A5;05;08;05/08;17/02/2021 00:00;10;48;143210,56;78976;0;0;72767,72;0;-222186,56;AAA+;3;7;1212795,33;EUR
.1~49;49;A5;05;09;05/09;18/02/2021 00:00;10;49;166932,56;65070;0;0;74363,76;0;-232002,56;AAA+;3;7;1214102,2;EUR
.1~50;50;A5;05;10;05/10;19/02/2021 00:00;10;50;194257,56;44015;0;0;75398,32;0;-238272,56;AAA+;3;7;1206373,12;EUR
.1~51;51;A5;06;01;06/01;20/02/2021 00:00;11;51;208087,56;36125;0;0;75860,87;0;-244212,56;AAA+;3;7;1189974,43;EUR
.1~52;52;A5;06;02;06/02;21/02/2021 00:00;11;52;221403,36;28181;0;-138871,38;76263,62;0;-110712,98;AAA+;3;7;1173286,46;EUR
.1~53;53;A5;06;03;06/03;22/02/2021 00:00;11;53;230889,36;23594;0;-138871,38;76727,71;0;-115611,98;AAA+;3;7;1158154,11;EUR
.1~54;54;A5;06;04;06/04;23/02/2021 00:00;11;54;237223,36;44803;0;-138871,38;80200;0;-143154,98;AAA+;3;7;1188148,15;EUR
.1~55;55;A5;06;05;06/05;24/02/2021 00:00;11;55;242711,36;76635;0;-138871,38;83854,32;0;-180474,98;AAA+;3;7;1219699,2;EUR
.1~56;56;A5;06;06;06/06;25/02/2021 00:00;12;56;248754,36;106191;0;-138871,38;88675,77;0;-216073,98;AAA+;3;7;1266796,71;EUR
.1~57;57;A5;06;07;06/07;26/02/2021 00:00;12;57;115111,98;107270;0;0;89286,87;0;-222381,98;AAA+;3;7;1253149,05;EUR
