ID;ROW_NUMBER;PLANT;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;STORAGE_LOCATION;STOCK;RESTRICTED;UNIT
.1~1;1;A5;AA-T01;Milk;03;0;0;ST
.1~2;2;A5;AA-T02;Cream;03;0;0;ST
.1~3;3;A5;AA-T03;Yoghurt;03;0;0;ST
.1~4;4;A5;AA-T04;Cheese;03;0;0;ST
.1~5;5;A5;AA-T05;Butter;03;0;0;ST
.1~6;6;A5;AA-T06;Ice Cream;03;0;0;ST
.1~7;7;A5;AA-T01;Milk;03N;0;0;ST
.1~8;8;A5;AA-T02;Cream;03N;195;0;ST
.1~9;9;A5;AA-T03;Yoghurt;03N;0;0;ST
.1~10;10;A5;AA-T04;Cheese;03N;151;0;ST
.1~11;11;A5;AA-T05;Butter;03N;0;0;ST
.1~12;12;A5;AA-T06;Ice Cream;03N;0;0;ST
.1~13;13;A5;AA-T01;Milk;03S;260;0;ST
.1~14;14;A5;AA-T02;Cream;03S;13;0;ST
.1~15;15;A5;AA-T03;Yoghurt;03S;0;0;ST
.1~16;16;A5;AA-T04;Cheese;03S;76;0;ST
.1~17;17;A5;AA-T05;Butter;03S;0;0;ST
.1~18;18;A5;AA-T06;Ice Cream;03S;0;0;ST
.1~19;19;A5;AA-T01;Milk;03W;96;0;ST
.1~20;20;A5;AA-T02;Cream;03W;294;0;ST
.1~21;21;A5;AA-T03;Yoghurt;03W;230;0;ST
.1~22;22;A5;AA-T04;Cheese;03W;0;0;ST
.1~23;23;A5;AA-T05;Butter;03W;177;0;ST
.1~24;24;A5;AA-T06;Ice Cream;03W;0;0;ST
.1~25;25;B5;BB-T01;Milk;03;0;0;ST
.1~26;26;B5;BB-T02;Cream;03;0;0;ST
.1~27;27;B5;BB-T03;Yoghurt;03;0;0;ST
.1~28;28;B5;BB-T04;Cheese;03;0;0;ST
.1~29;29;B5;BB-T05;Butter;03;0;0;ST
.1~30;30;B5;BB-T06;Ice Cream;03;0;0;ST
.1~31;31;B5;BB-T01;Milk;03N;0;0;ST
.1~32;32;B5;BB-T02;Cream;03N;0;0;ST
.1~33;33;B5;BB-T03;Yoghurt;03N;0;0;ST
.1~34;34;B5;BB-T04;Cheese;03N;145;0;ST
.1~35;35;B5;BB-T05;Butter;03N;125;0;ST
.1~36;36;B5;BB-T06;Ice Cream;03N;160;0;ST
.1~37;37;B5;BB-T01;Milk;03S;422;0;ST
.1~38;38;B5;BB-T02;Cream;03S;8;0;ST
.1~39;39;B5;BB-T03;Yoghurt;03S;0;0;ST
.1~40;40;B5;BB-T04;Cheese;03S;28;0;ST
.1~41;41;B5;BB-T05;Butter;03S;4;0;ST
.1~42;42;B5;BB-T06;Ice Cream;03S;13;0;ST
.1~43;43;B5;BB-T01;Milk;03W;0;0;ST
.1~44;44;B5;BB-T02;Cream;03W;37;0;ST
.1~45;45;B5;BB-T03;Yoghurt;03W;341;0;ST
.1~46;46;B5;BB-T04;Cheese;03W;0;0;ST
.1~47;47;B5;BB-T05;Butter;03W;115;0;ST
.1~48;48;B5;BB-T06;Ice Cream;03W;0;0;ST
.1~49;49;C5;CC-T01;Milk;03;0;0;ST
.1~50;50;C5;CC-T02;Cream;03;150;0;ST
.1~51;51;C5;CC-T03;Yoghurt;03;0;0;ST
.1~52;52;C5;CC-T04;Cheese;03;66;0;ST
.1~53;53;C5;CC-T05;Butter;03;0;0;ST
.1~54;54;C5;CC-T06;Ice Cream;03;0;0;ST
.1~55;55;C5;CC-T01;Milk;03N;204;0;ST
.1~56;56;C5;CC-T02;Cream;03N;33;0;ST
.1~57;57;C5;CC-T03;Yoghurt;03N;0;0;ST
.1~58;58;C5;CC-T04;Cheese;03N;0;0;ST
.1~59;59;C5;CC-T05;Butter;03N;172;0;ST
.1~60;60;C5;CC-T06;Ice Cream;03N;0;0;ST
.1~61;61;C5;CC-T01;Milk;03S;216;0;ST
.1~62;62;C5;CC-T02;Cream;03S;0;0;ST
.1~63;63;C5;CC-T03;Yoghurt;03S;11;0;ST
.1~64;64;C5;CC-T04;Cheese;03S;54;0;ST
.1~65;65;C5;CC-T05;Butter;03S;0;0;ST
.1~66;66;C5;CC-T06;Ice Cream;03S;96;0;ST
.1~67;67;C5;CC-T01;Milk;03W;0;0;ST
.1~68;68;C5;CC-T02;Cream;03W;0;0;ST
.1~69;69;C5;CC-T03;Yoghurt;03W;0;0;ST
.1~70;70;C5;CC-T04;Cheese;03W;6;0;ST
.1~71;71;C5;CC-T05;Butter;03W;0;0;ST
.1~72;72;C5;CC-T06;Ice Cream;03W;0;0;ST
.1~73;73;D5;DD-T01;Milk;03;0;0;ST
.1~74;74;D5;DD-T02;Cream;03;0;0;ST
.1~75;75;D5;DD-T03;Yoghurt;03;0;0;ST
.1~76;76;D5;DD-T04;Cheese;03;0;0;ST
.1~77;77;D5;DD-T05;Butter;03;0;0;ST
.1~78;78;D5;DD-T06;Ice Cream;03;0;0;ST
.1~79;79;D5;DD-T01;Milk;03N;0;0;ST
.1~80;80;D5;DD-T02;Cream;03N;127;0;ST
.1~81;81;D5;DD-T03;Yoghurt;03N;0;0;ST
.1~82;82;D5;DD-T04;Cheese;03N;163;0;ST
.1~83;83;D5;DD-T05;Butter;03N;238;0;ST
.1~84;84;D5;DD-T06;Ice Cream;03N;144;0;ST
.1~85;85;D5;DD-T01;Milk;03S;125;0;ST
.1~86;86;D5;DD-T02;Cream;03S;355;0;ST
.1~87;87;D5;DD-T03;Yoghurt;03S;121;0;ST
.1~88;88;D5;DD-T04;Cheese;03S;131;0;ST
.1~89;89;D5;DD-T05;Butter;03S;58;0;ST
.1~90;90;D5;DD-T06;Ice Cream;03S;203;0;ST
.1~91;91;D5;DD-T01;Milk;03W;94;0;ST
.1~92;92;D5;DD-T02;Cream;03W;141;0;ST
.1~93;93;D5;DD-T03;Yoghurt;03W;52;0;ST
.1~94;94;D5;DD-T04;Cheese;03W;67;0;ST
.1~95;95;D5;DD-T05;Butter;03W;158;0;ST
.1~96;96;D5;DD-T06;Ice Cream;03W;272;0;ST
.1~97;97;E5;EE-T01;Milk;03;0;0;ST
.1~98;98;E5;EE-T02;Cream;03;0;0;ST
.1~99;99;E5;EE-T03;Yoghurt;03;0;0;ST
.1~100;100;E5;EE-T04;Cheese;03;0;0;ST
.1~101;101;E5;EE-T05;Butter;03;0;0;ST
.1~102;102;E5;EE-T06;Ice Cream;03;0;0;ST
.1~103;103;E5;EE-T01;Milk;03N;33;0;ST
.1~104;104;E5;EE-T02;Cream;03N;0;0;ST
.1~105;105;E5;EE-T03;Yoghurt;03N;246;0;ST
.1~106;106;E5;EE-T04;Cheese;03N;0;0;ST
.1~107;107;E5;EE-T05;Butter;03N;0;0;ST
.1~108;108;E5;EE-T06;Ice Cream;03N;0;0;ST
.1~109;109;E5;EE-T01;Milk;03S;253;0;ST
.1~110;110;E5;EE-T02;Cream;03S;0;0;ST
.1~111;111;E5;EE-T03;Yoghurt;03S;0;0;ST
.1~112;112;E5;EE-T04;Cheese;03S;173;0;ST
.1~113;113;E5;EE-T05;Butter;03S;0;0;ST
.1~114;114;E5;EE-T06;Ice Cream;03S;278;0;ST
.1~115;115;E5;EE-T01;Milk;03W;24;0;ST
.1~116;116;E5;EE-T02;Cream;03W;0;0;ST
.1~117;117;E5;EE-T03;Yoghurt;03W;0;0;ST
.1~118;118;E5;EE-T04;Cheese;03W;0;0;ST
.1~119;119;E5;EE-T05;Butter;03W;78;0;ST
.1~120;120;E5;EE-T06;Ice Cream;03W;43;0;ST
.1~121;121;F5;FF-T01;Milk;03;0;0;ST
.1~122;122;F5;FF-T02;Cream;03;0;0;ST
.1~123;123;F5;FF-T03;Yoghurt;03;0;0;ST
.1~124;124;F5;FF-T04;Cheese;03;0;0;ST
.1~125;125;F5;FF-T05;Butter;03;0;0;ST
.1~126;126;F5;FF-T06;Ice Cream;03;0;0;ST
.1~127;127;F5;FF-T01;Milk;03N;24;0;ST
.1~128;128;F5;FF-T02;Cream;03N;36;0;ST
.1~129;129;F5;FF-T03;Yoghurt;03N;74;0;ST
.1~130;130;F5;FF-T04;Cheese;03N;33;0;ST
