ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;INVENTORY_OPENING_BALANCE;UNIT
.1~18;18;A5;01;01;01/01;01/01/2021 00:00;1;1;03S;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~41;41;A5;01;02;01/02;02/01/2021 00:00;1;2;03S;AA-T05;Butter;Trading Goods;T05;;Butter;0;ST
.1~116;116;A5;01;05;01/05;05/01/2021 00:00;1;5;03W;AA-T02;Cream;Trading Goods;T02;;Cream;200;ST
.1~1950;1950;B5;01;01;01/01;01/01/2021 00:00;1;1;03;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~1973;1973;B5;01;02;01/02;02/01/2021 00:00;1;2;03;BB-T05;Butter;Trading Goods;T05;;Butter;0;ST
.1~2002;2002;B5;01;03;01/03;03/01/2021 00:00;1;3;03N;BB-T04;Cheese;Trading Goods;T04;;Cheese;0;ST
.1~2041;2041;B5;01;05;01/05;05/01/2021 00:00;1;5;03;BB-T01;Milk;Trading Goods;T01;;Milk;0;ST
.1~2070;2070;B5;01;06;01/06;06/01/2021 00:00;2;6;03;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~2073;2073;B5;01;06;01/06;06/01/2021 00:00;2;6;03N;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;459;ST
.1~2076;2076;B5;01;06;01/06;06/01/2021 00:00;2;6;03N;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;215;ST
.1~2093;2093;B5;01;07;01/07;07/01/2021 00:00;2;7;03;BB-T05;Butter;Trading Goods;T05;;Butter;0;ST
.1~3912;3912;C5;01;01;01/01;01/01/2021 00:00;1;1;03W;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~3935;3935;C5;01;02;01/02;02/01/2021 00:00;1;2;03W;CC-T05;Butter;Trading Goods;T05;;Butter;0;ST
.1~4032;4032;C5;01;06;01/06;06/01/2021 00:00;2;6;03W;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~5962;5962;D5;01;06;01/06;06/01/2021 00:00;2;6;03N;DD-T04;Cheese;Trading Goods;T04;;Cheese;150;ST
