ID;ROW_NUMBER;COMPANY_CODE;SALES_ORGANIZATION;SIM_ROUND;SIM_PERIOD;MATERIAL_DESCRIPTION;DISTRIBUTION_CHANNEL;AREA;QUANTITY;UNIT;AVERAGE_PRICE;NET_VALUE;CURRENCY
.1~4108;4108;H5;Company;02;3;Yoghurt;16;West;56;ST;34,05;1908,9;EUR
.1~4110;4110;H5;Company;02;4;Butter;16;North;0;;0;0;
.1~4118;4118;H5;Company;02;4;Cheese;16;South;20;ST;97,8;1956;EUR
.1~4120;4120;H5;Company;02;4;Cheese;16;West;0;;0;0;
.1~4122;4122;H5;Company;02;4;Cream;16;North;28;ST;84,3;2360,4;EUR
.1~4126;4126;H5;Company;02;4;Cream;16;West;0;;0;0;
.1~4130;4130;H5;Company;02;4;Ice Cream;16;South;0;;0;0;
.1~4142;4142;H5;Company;02;4;Yoghurt;16;South;150;ST;34,13;5109,6;EUR
.1~4152;4152;H5;Company;03;5;Cheese;16;North;0;;0;0;
.1~4156;4156;H5;Company;03;5;Cheese;16;West;19;ST;97,6;1854,4;EUR
.1~4158;4158;H5;Company;03;5;Cream;16;North;29;ST;84,3;2444,7;EUR
.1~4176;4176;H5;Company;03;5;Yoghurt;16;North;91;ST;34,85;3168,8;EUR
.1~4178;4178;H5;Company;03;5;Yoghurt;16;South;151;ST;34,8;5255;EUR
.1~4180;4180;H5;Company;03;5;Yoghurt;16;West;0;;0;0;
.1~4184;4184;H5;Company;03;6;Butter;16;South;74;ST;71,26;5272,14;EUR
.1~4188;4188;H5;Company;03;6;Cheese;16;North;0;;0;0;
.1~4190;4190;H5;Company;03;6;Cheese;16;South;22;ST;97,4;2142,8;EUR
.1~4194;4194;H5;Company;03;6;Cream;16;North;0;;0;0;
.1~4196;4196;H5;Company;03;6;Cream;16;South;8;ST;84,1;672,8;EUR
.1~4198;4198;H5;Company;03;6;Cream;16;West;0;;0;0;
.1~4200;4200;H5;Company;03;6;Ice Cream;16;North;80;ST;52,15;4172,7;EUR
.1~4206;4206;H5;Company;03;6;Milk;16;North;311;ST;34,33;10638,5;EUR
.1~4210;4210;H5;Company;03;6;Milk;16;West;123;ST;37;4551;EUR
.1~4236;4236;H5;Company;04;7;Ice Cream;16;North;42;ST;52;2184;EUR
.1~4240;4240;H5;Company;04;7;Ice Cream;16;West;77;ST;52,15;4014,8;EUR
.1~4244;4244;H5;Company;04;7;Milk;16;South;62;ST;39;2418;EUR
.1~4246;4246;H5;Company;04;7;Milk;16;West;0;;0;0;
.1~4248;4248;H5;Company;04;7;Yoghurt;16;North;0;;0;0;
.1~4250;4250;H5;Company;04;7;Yoghurt;16;South;73;ST;36,8;2686,4;EUR
.1~4252;4252;H5;Company;04;7;Yoghurt;16;West;0;;0;0;
.1~4260;4260;H5;Company;04;8;Cheese;16;North;0;;0;0;
.1~4266;4266;H5;Company;04;8;Cream;16;North;0;;0;0;
.1~4286;4286;H5;Company;04;8;Yoghurt;16;South;111;ST;36,7;4074,4;EUR
.1~4292;4292;H5;Company;05;9;Butter;16;South;50;ST;67,65;3383,7;EUR
.1~4294;4294;H5;Company;05;9;Butter;16;West;0;;0;0;
.1~4300;4300;H5;Company;05;9;Cheese;16;West;63;ST;95,16;5995;EUR
.1~4306;4306;H5;Company;05;9;Cream;16;West;27;ST;80,2;2165,4;EUR
.1~4316;4316;H5;Company;05;9;Milk;16;South;66;ST;30,5;2013;EUR
.1~4320;4320;H5;Company;05;9;Yoghurt;16;North;0;;0;0;
.1~4338;4338;H5;Company;05;10;Cream;16;North;0;;0;0;
.1~4352;4352;H5;Company;05;10;Milk;16;South;62;ST;30,7;1903,4;EUR
.1~4356;4356;H5;Company;05;10;Yoghurt;16;North;192;ST;35,26;6770;EUR
.1~4358;4358;H5;Company;05;10;Yoghurt;16;South;117;ST;35,26;4129,4;EUR
.1~4362;4362;H5;Company;06;11;Butter;16;North;140;ST;67,16;9403;EUR
.1~4368;4368;H5;Company;06;11;Cheese;16;North;21;ST;94,3;1980,3;EUR
.1~4372;4372;H5;Company;06;11;Cheese;16;West;100;ST;93,5;9350;EUR
.1~4378;4378;H5;Company;06;11;Cream;16;West;21;ST;78,7;1652,7;EUR
.1~4390;4390;H5;Company;06;11;Milk;16;West;0;;0;0;
.1~4400;4400;H5;Company;06;12;Butter;16;South;116;ST;67,14;7788,6;EUR
.1~4402;4402;H5;Company;06;12;Butter;16;West;0;;0;0;
.1~4430;4430;H5;Company;06;12;Yoghurt;16;South;100;ST;34,3;3430;EUR
.1~4436;4436;H5;Company;07;13;Butter;16;South;32;ST;67,1;2147,2;EUR
.1~4442;4442;H5;Company;07;13;Cheese;16;South;47;ST;92,2;4333,4;EUR
.1~4444;4444;H5;Company;07;13;Cheese;16;West;142;ST;92,2;13092,4;EUR
.1~4458;4458;H5;Company;07;13;Milk;16;North;352;ST;31,2;10975;EUR
.1~4468;4468;H5;Company;07;13;Yoghurt;16;West;105;ST;34,35;3616,9;EUR
.1~4472;4472;H5;Company;07;14;Butter;16;South;133;ST;66,85;8911,3;EUR
.1~4476;4476;H5;Company;07;14;Cheese;16;North;60;ST;92,2;5532;EUR
.1~4478;4478;H5;Company;07;14;Cheese;16;South;72;ST;92,2;6638,4;EUR
.1~4488;4488;H5;Company;07;14;Ice Cream;16;North;181;ST;47,06;8518,1;EUR
.1~4490;4490;H5;Company;07;14;Ice Cream;16;South;47;ST;47;2209;EUR
.1~4492;4492;H5;Company;07;14;Ice Cream;16;West;0;;0;0;
.1~4502;4502;H5;Company;07;14;Yoghurt;16;South;199;ST;34,3;6827,6;EUR
.1~4506;4506;H5;Company;08;15;Butter;16;North;166;ST;65,92;10942,6;EUR
.1~4514;4514;H5;Company;08;15;Cheese;16;South;0;;0;0;
.1~4518;4518;H5;Company;08;15;Cream;16;North;100;ST;77,35;7736,4;EUR
.1~4520;4520;H5;Company;08;15;Cream;16;South;76;ST;77;5852;EUR
.1~4522;4522;H5;Company;08;15;Cream;16;West;0;;0;0;
.1~4524;4524;H5;Company;08;15;Ice Cream;16;North;0;;0;0;
.1~4554;4554;H5;Company;08;16;Cream;16;North;28;ST;75,8;2140;EUR
.1~4560;4560;H5;Company;08;16;Ice Cream;16;North;0;;0;0;
.1~4562;4562;H5;Company;08;16;Ice Cream;16;South;0;;0;0;
.1~4564;4564;H5;Company;08;16;Ice Cream;16;West;9;ST;47,6;428,4;EUR
.1~4566;4566;H5;Company;08;16;Milk;16;North;165;ST;33,62;5535,1;EUR
.1~4568;4568;H5;Company;08;16;Milk;16;South;115;ST;33,5;3853,8;EUR
.1~4576;4576;H5;Company;08;16;Yoghurt;16;West;169;ST;35;5915;EUR
.1~1;1;A5;Market;01;1;Butter;16;North;46;ST;70;3220;EUR
.1~7;7;A5;Market;01;1;Cheese;16;North;105;ST;92,58;9668,66;EUR
.1~9;9;A5;Market;01;1;Cheese;16;South;41;ST;93,6;3820,8;EUR
.1~17;17;A5;Market;01;1;Cream;16;West;52;ST;79;4108;EUR
.1~31;31;A5;Market;01;1;Yoghurt;16;West;213;ST;30,67;6525,34;EUR
.1~37;37;A5;Market;01;2;Butter;16;West;208;ST;68,85;14303,78;EUR
.1~45;45;A5;Market;01;2;Cream;16;North;169;ST;81,4;13747,1;EUR
.1~49;49;A5;Market;01;2;Cream;16;West;47;ST;83,15;3897,3;EUR
.1~55;55;A5;Market;01;2;Ice Cream;16;West;151;ST;49,62;7504;EUR
.1~59;59;A5;Market;01;2;Milk;16;South;589;ST;28,98;17041,7;EUR
.1~61;61;A5;Market;01;2;Milk;16;West;1450;ST;29,86;43069;EUR
.1~69;69;A5;Market;02;3;Butter;16;North;623;ST;68,06;42333,44;EUR
