ID;ROW_NUMBER;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;PLANT;TYPE;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;CUSTOMER_NUMBER;COUNTRY;CITY;POSTAL_CODE;REGION;AREA;DISTRIBUTION_CHANNEL;SCORE_0;SCORE_1;SCORE_2;SCORE_3;SCORE_4;SCORE_5;SCORE_6;SCORE_7;SCORE_8;SCORE_9;SCORE_10
.1~1;1;1;4;01-avr;04/01/2021 00:00;1;4;A5;Buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80297;Germany;DRESDEN;1157;Saxony;North;16;0;0;0;0;0;0;0;0;0;2;3
.1~2;2;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80297;Germany;DRESDEN;1157;Saxony;North;16;0;0;0;0;0;0;0;1;1;0;0
.1~3;3;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80298;Germany;STUTTGART;70178;Baden-Wurttemberg;South;16;0;0;0;0;0;0;1;1;1;0;0
.1~4;4;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80301;Germany;FRANKFURT/MAIN;60314;Hessen;South;16;0;0;0;0;1;1;1;1;0;0;0
.1~5;5;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80303;Germany;DÜSSELDORF;40234;Nrth Rhine Westfalia;West;16;0;0;0;0;0;0;0;1;1;1;0
.1~6;6;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80304;Germany;ESSEN;45128;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;0;0;0;0
.1~7;7;1;4;01-avr;04/01/2021 00:00;1;4;A5;Buyer;AA-T02;Cream;Trading Goods;T02;;Cream;80304;Germany;ESSEN;45128;Nrth Rhine Westfalia;West;16;0;0;0;0;0;0;0;0;0;1;1
.1~8;8;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T02;Cream;Trading Goods;T02;;Cream;80298;Germany;STUTTGART;70178;Baden-Wurttemberg;South;16;0;0;0;0;0;0;0;0;1;0;0
.1~9;9;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T02;Cream;Trading Goods;T02;;Cream;80303;Germany;DÜSSELDORF;40234;Nrth Rhine Westfalia;West;16;0;0;0;0;0;0;1;0;0;0;0
.1~10;10;1;4;01-avr;04/01/2021 00:00;1;4;A5;Buyer;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80301;Germany;FRANKFURT/MAIN;60314;Hessen;South;16;0;0;0;0;0;0;0;0;1;1;0
.1~11;11;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80297;Germany;DRESDEN;1157;Saxony;North;16;0;0;0;0;0;1;1;1;0;0;0
.1~12;12;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80301;Germany;FRANKFURT/MAIN;60314;Hessen;South;16;0;0;0;0;0;1;1;0;0;0;0
.1~13;13;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80303;Germany;DÜSSELDORF;40234;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;1;0;0;0
.1~14;14;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80304;Germany;ESSEN;45128;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;0;0;0;0
.1~15;15;1;4;01-avr;04/01/2021 00:00;1;4;A5;Buyer;AA-T04;Cheese;Trading Goods;T04;;Cheese;80304;Germany;ESSEN;45128;Nrth Rhine Westfalia;West;16;0;0;0;0;0;0;0;0;0;0;1
.1~16;16;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T04;Cheese;Trading Goods;T04;;Cheese;80297;Germany;DRESDEN;1157;Saxony;North;16;0;0;0;0;0;0;0;0;0;0;1
.1~17;17;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T04;Cheese;Trading Goods;T04;;Cheese;80304;Germany;ESSEN;45128;Nrth Rhine Westfalia;West;16;0;0;0;0;0;0;0;0;1;0;0
.1~18;18;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T05;Butter;Trading Goods;T05;;Butter;80298;Germany;STUTTGART;70178;Baden-Wurttemberg;South;16;0;0;0;0;0;0;0;0;1;1;0
.1~19;19;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80297;Germany;DRESDEN;1157;Saxony;North;16;0;0;0;0;0;1;1;0;0;0;0
.1~20;20;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80298;Germany;STUTTGART;70178;Baden-Wurttemberg;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~21;21;1;4;01-avr;04/01/2021 00:00;1;4;A5;Non-buyer;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80301;Germany;FRANKFURT/MAIN;60314;Hessen;South;16;0;0;0;0;1;1;1;0;0;0;0
