ID;ROW_NUMBER;SALES_ORGANIZATION;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;DISTRIBUTION_CHANNEL;DC_NAME;PRICE;CURRENCY
.1~1;1;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T01;Milk;16;Retailers;32;EUR
.1~2;2;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T02;Cream;16;Retailers;79;EUR
.1~3;3;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~4;4;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T04;Cheese;16;Retailers;88;EUR
.1~5;5;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T05;Butter;16;Retailers;70;EUR
.1~6;6;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~7;7;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T01;Milk;16;Retailers;32;EUR
.1~8;8;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T02;Cream;16;Retailers;79;EUR
.1~9;9;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~10;10;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T04;Cheese;16;Retailers;88;EUR
.1~11;11;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T05;Butter;16;Retailers;70;EUR
.1~12;12;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~13;13;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T01;Milk;16;Retailers;32;EUR
.1~14;14;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T02;Cream;16;Retailers;79;EUR
.1~15;15;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~16;16;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T04;Cheese;16;Retailers;88;EUR
.1~17;17;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T05;Butter;16;Retailers;70;EUR
.1~18;18;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~19;19;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T01;Milk;16;Retailers;32;EUR
.1~20;20;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T02;Cream;16;Retailers;79;EUR
.1~21;21;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~22;22;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T04;Cheese;16;Retailers;88;EUR
.1~23;23;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T05;Butter;16;Retailers;70;EUR
.1~24;24;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~25;25;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T01;Milk;16;Retailers;32;EUR
.1~26;26;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T02;Cream;16;Retailers;79;EUR
.1~27;27;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~28;28;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T04;Cheese;16;Retailers;88;EUR
.1~29;29;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T05;Butter;16;Retailers;70;EUR
.1~30;30;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~31;31;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T01;Milk;16;Retailers;32;EUR
.1~32;32;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T02;Cream;16;Retailers;79;EUR
.1~33;33;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~34;34;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T04;Cheese;16;Retailers;88;EUR
.1~35;35;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T05;Butter;16;Retailers;70;EUR
.1~36;36;A5;01;06;01/06;06/01/2021 00:00;2;6;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~37;37;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T01;Milk;16;Retailers;32;EUR
.1~38;38;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T02;Cream;16;Retailers;79;EUR
.1~39;39;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~40;40;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T04;Cheese;16;Retailers;88;EUR
.1~41;41;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T05;Butter;16;Retailers;70;EUR
.1~42;42;A5;01;07;01/07;07/01/2021 00:00;2;7;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~43;43;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T01;Milk;16;Retailers;32;EUR
.1~44;44;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T02;Cream;16;Retailers;79;EUR
.1~45;45;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~46;46;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T04;Cheese;16;Retailers;88;EUR
.1~47;47;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T05;Butter;16;Retailers;70;EUR
.1~48;48;A5;01;08;01/08;08/01/2021 00:00;2;8;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~49;49;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T01;Milk;16;Retailers;32;EUR
.1~50;50;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T02;Cream;16;Retailers;79;EUR
.1~51;51;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~52;52;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T04;Cheese;16;Retailers;88;EUR
.1~53;53;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T05;Butter;16;Retailers;70;EUR
.1~54;54;A5;01;09;01/09;09/01/2021 00:00;2;9;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~55;55;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T01;Milk;16;Retailers;32;EUR
.1~56;56;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T02;Cream;16;Retailers;79;EUR
.1~57;57;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~58;58;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T04;Cheese;16;Retailers;88;EUR
.1~59;59;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T05;Butter;16;Retailers;70;EUR
.1~60;60;A5;01;10;01/10;10/01/2021 00:00;2;10;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~61;61;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T01;Milk;16;Retailers;32;EUR
.1~62;62;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T02;Cream;16;Retailers;79;EUR
.1~63;63;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~64;64;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T04;Cheese;16;Retailers;88;EUR
.1~65;65;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T05;Butter;16;Retailers;70;EUR
.1~66;66;A5;02;01;02/01;11/01/2021 00:00;3;11;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~67;67;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T01;Milk;16;Retailers;32;EUR
.1~68;68;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T02;Cream;16;Retailers;79;EUR
.1~69;69;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~70;70;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T04;Cheese;16;Retailers;88;EUR
.1~71;71;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T05;Butter;16;Retailers;70;EUR
.1~72;72;A5;02;02;02/02;12/01/2021 00:00;3;12;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~73;73;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T01;Milk;16;Retailers;32;EUR
.1~74;74;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T02;Cream;16;Retailers;79;EUR
.1~75;75;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~76;76;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T04;Cheese;16;Retailers;88;EUR
.1~77;77;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T05;Butter;16;Retailers;70;EUR
.1~78;78;A5;02;03;02/03;13/01/2021 00:00;3;13;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~79;79;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T01;Milk;16;Retailers;32;EUR
.1~80;80;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T02;Cream;16;Retailers;79;EUR
.1~81;81;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~82;82;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T04;Cheese;16;Retailers;88;EUR
.1~83;83;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T05;Butter;16;Retailers;70;EUR
.1~84;84;A5;02;04;02/04;14/01/2021 00:00;3;14;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~85;85;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T01;Milk;16;Retailers;32;EUR
.1~86;86;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T02;Cream;16;Retailers;79;EUR
.1~87;87;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~88;88;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T04;Cheese;16;Retailers;88;EUR
.1~89;89;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T05;Butter;16;Retailers;70;EUR
.1~90;90;A5;02;05;02/05;15/01/2021 00:00;3;15;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~91;91;A5;02;06;02/06;16/01/2021 00:00;4;16;AA-T01;Milk;16;Retailers;32;EUR
.1~92;92;A5;02;06;02/06;16/01/2021 00:00;4;16;AA-T02;Cream;16;Retailers;79;EUR
.1~93;93;A5;02;06;02/06;16/01/2021 00:00;4;16;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~94;94;A5;02;06;02/06;16/01/2021 00:00;4;16;AA-T04;Cheese;16;Retailers;88;EUR
.1~95;95;A5;02;06;02/06;16/01/2021 00:00;4;16;AA-T05;Butter;16;Retailers;70;EUR
.1~96;96;A5;02;06;02/06;16/01/2021 00:00;4;16;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~97;97;A5;02;07;02/07;17/01/2021 00:00;4;17;AA-T01;Milk;16;Retailers;32;EUR
.1~98;98;A5;02;07;02/07;17/01/2021 00:00;4;17;AA-T02;Cream;16;Retailers;79;EUR
.1~99;99;A5;02;07;02/07;17/01/2021 00:00;4;17;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~100;100;A5;02;07;02/07;17/01/2021 00:00;4;17;AA-T04;Cheese;16;Retailers;88;EUR
.1~101;101;A5;02;07;02/07;17/01/2021 00:00;4;17;AA-T05;Butter;16;Retailers;70;EUR
.1~102;102;A5;02;07;02/07;17/01/2021 00:00;4;17;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~103;103;A5;02;08;02/08;18/01/2021 00:00;4;18;AA-T01;Milk;16;Retailers;32;EUR
.1~104;104;A5;02;08;02/08;18/01/2021 00:00;4;18;AA-T02;Cream;16;Retailers;79;EUR
.1~105;105;A5;02;08;02/08;18/01/2021 00:00;4;18;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~106;106;A5;02;08;02/08;18/01/2021 00:00;4;18;AA-T04;Cheese;16;Retailers;88;EUR
.1~107;107;A5;02;08;02/08;18/01/2021 00:00;4;18;AA-T05;Butter;16;Retailers;70;EUR
.1~108;108;A5;02;08;02/08;18/01/2021 00:00;4;18;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~109;109;A5;02;09;02/09;19/01/2021 00:00;4;19;AA-T01;Milk;16;Retailers;32;EUR
.1~110;110;A5;02;09;02/09;19/01/2021 00:00;4;19;AA-T02;Cream;16;Retailers;79;EUR
.1~111;111;A5;02;09;02/09;19/01/2021 00:00;4;19;AA-T03;Yoghurt;16;Retailers;31;EUR
.1~112;112;A5;02;09;02/09;19/01/2021 00:00;4;19;AA-T04;Cheese;16;Retailers;88;EUR
.1~113;113;A5;02;09;02/09;19/01/2021 00:00;4;19;AA-T05;Butter;16;Retailers;70;EUR
.1~114;114;A5;02;09;02/09;19/01/2021 00:00;4;19;AA-T06;Ice Cream;16;Retailers;48;EUR
.1~115;115;A5;02;10;02/10;20/01/2021 00:00;4;20;AA-T01;Milk;16;Retailers;32;EUR
