ID;ROW_NUMBER;COMPANY_CODE;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;PURCHASING_ORDER;VENDOR;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;QUANTITY;STATUS;UNIT;GOODS_RECEIPT_ROUND;GOODS_RECEIPT_STEP;GOODS_RECEIPT_DATE
.1~1;1;A5;01;01;01/01;01/01/2021 00:00;1;1;4500000754;V04;AA-T01;Milk;666;Delivered;ST;01;02;01/02
.1~2;2;A5;01;01;01/01;01/01/2021 00:00;1;1;4500000754;V04;AA-T02;Cream;666;Delivered;ST;01;02;01/02
.1~3;3;A5;01;01;01/01;01/01/2021 00:00;1;1;4500000754;V04;AA-T03;Yoghurt;666;Delivered;ST;01;02;01/02
.1~4;4;A5;01;01;01/01;01/01/2021 00:00;1;1;4500000754;V04;AA-T04;Cheese;666;Delivered;ST;01;02;01/02
.1~5;5;A5;01;01;01/01;01/01/2021 00:00;1;1;4500000754;V04;AA-T05;Butter;666;Delivered;ST;01;02;01/02
.1~6;6;A5;01;01;01/01;01/01/2021 00:00;1;1;4500000754;V04;AA-T06;Ice Cream;666;Delivered;ST;01;02;01/02
.1~7;7;A5;02;03;02/03;13/01/2021 00:00;3;13;4500000766;V04;AA-T01;Milk;667;Delivered;ST;02;04;02/04
.1~8;8;A5;02;03;02/03;13/01/2021 00:00;3;13;4500000766;V04;AA-T02;Cream;300;Delivered;ST;02;04;02/04
.1~9;9;A5;02;03;02/03;13/01/2021 00:00;3;13;4500000766;V04;AA-T03;Yoghurt;700;Delivered;ST;02;04;02/04
.1~10;10;A5;02;03;02/03;13/01/2021 00:00;3;13;4500000766;V04;AA-T04;Cheese;368;Delivered;ST;02;04;02/04
.1~11;11;A5;02;03;02/03;13/01/2021 00:00;3;13;4500000766;V04;AA-T05;Butter;400;Delivered;ST;02;04;02/04
.1~12;12;A5;02;03;02/03;13/01/2021 00:00;3;13;4500000766;V04;AA-T06;Ice Cream;565;Delivered;ST;02;04;02/04
.1~13;13;A5;03;02;03/02;22/01/2021 00:00;5;22;4500000776;V04;AA-T01;Milk;145;Delivered;ST;03;03;03/03
.1~14;14;A5;03;02;03/02;22/01/2021 00:00;5;22;4500000776;V04;AA-T02;Cream;127;Delivered;ST;03;03;03/03
.1~15;15;A5;03;02;03/02;22/01/2021 00:00;5;22;4500000776;V04;AA-T03;Yoghurt;584;Delivered;ST;03;03;03/03
.1~16;16;A5;03;02;03/02;22/01/2021 00:00;5;22;4500000776;V04;AA-T04;Cheese;346;Delivered;ST;03;03;03/03
.1~17;17;A5;03;02;03/02;22/01/2021 00:00;5;22;4500000776;V04;AA-T06;Ice Cream;311;Delivered;ST;03;03;03/03
.1~18;18;A5;04;01;04/01;31/01/2021 00:00;7;31;4500000787;V04;AA-T01;Milk;738;Delivered;ST;04;03;04/03
.1~19;19;A5;04;01;04/01;31/01/2021 00:00;7;31;4500000787;V04;AA-T02;Cream;515;Delivered;ST;04;03;04/03
.1~20;20;A5;04;01;04/01;31/01/2021 00:00;7;31;4500000787;V04;AA-T03;Yoghurt;592;Delivered;ST;04;03;04/03
.1~21;21;A5;04;01;04/01;31/01/2021 00:00;7;31;4500000787;V04;AA-T04;Cheese;417;Delivered;ST;04;03;04/03
.1~22;22;A5;04;01;04/01;31/01/2021 00:00;7;31;4500000787;V04;AA-T05;Butter;120;Delivered;ST;04;03;04/03
.1~23;23;A5;04;01;04/01;31/01/2021 00:00;7;31;4500000787;V04;AA-T06;Ice Cream;294;Delivered;ST;04;03;04/03
.1~24;24;A5;05;01;05/01;10/02/2021 00:00;9;41;4500000796;V04;AA-T01;Milk;887;Delivered;ST;05;02;05/02
.1~25;25;A5;05;01;05/01;10/02/2021 00:00;9;41;4500000796;V04;AA-T02;Cream;552;Delivered;ST;05;02;05/02
.1~26;26;A5;05;01;05/01;10/02/2021 00:00;9;41;4500000796;V04;AA-T03;Yoghurt;792;Delivered;ST;05;02;05/02
.1~27;27;A5;05;01;05/01;10/02/2021 00:00;9;41;4500000796;V04;AA-T04;Cheese;452;Delivered;ST;05;02;05/02
.1~28;28;A5;05;01;05/01;10/02/2021 00:00;9;41;4500000796;V04;AA-T05;Butter;183;Delivered;ST;05;02;05/02
.1~29;29;A5;05;01;05/01;10/02/2021 00:00;9;41;4500000796;V04;AA-T06;Ice Cream;551;Delivered;ST;05;02;05/02
.1~30;30;A5;06;01;06/01;20/02/2021 00:00;11;51;4500000807;V04;AA-T01;Milk;699;Delivered;ST;06;02;06/02
.1~31;31;A5;06;01;06/01;20/02/2021 00:00;11;51;4500000807;V04;AA-T02;Cream;148;Delivered;ST;06;02;06/02
.1~32;32;A5;06;01;06/01;20/02/2021 00:00;11;51;4500000807;V04;AA-T03;Yoghurt;655;Delivered;ST;06;02;06/02
.1~33;33;A5;06;01;06/01;20/02/2021 00:00;11;51;4500000807;V04;AA-T04;Cheese;585;Delivered;ST;06;02;06/02
.1~34;34;A5;06;01;06/01;20/02/2021 00:00;11;51;4500000807;V04;AA-T05;Butter;384;Delivered;ST;06;02;06/02
.1~35;35;A5;06;01;06/01;20/02/2021 00:00;11;51;4500000807;V04;AA-T06;Ice Cream;530;Delivered;ST;06;02;06/02
.1~36;36;A5;07;01;07/01;02/03/2021 00:00;13;61;4500000818;V04;AA-T01;Milk;817;Delivered;ST;07;03;07/03
.1~37;37;A5;07;01;07/01;02/03/2021 00:00;13;61;4500000818;V04;AA-T02;Cream;295;Delivered;ST;07;03;07/03
.1~38;38;A5;07;01;07/01;02/03/2021 00:00;13;61;4500000818;V04;AA-T03;Yoghurt;566;Delivered;ST;07;03;07/03
.1~39;39;A5;07;01;07/01;02/03/2021 00:00;13;61;4500000818;V04;AA-T04;Cheese;654;Delivered;ST;07;03;07/03
.1~40;40;A5;07;01;07/01;02/03/2021 00:00;13;61;4500000818;V04;AA-T05;Butter;309;Delivered;ST;07;03;07/03
.1~41;41;A5;07;01;07/01;02/03/2021 00:00;13;61;4500000818;V04;AA-T06;Ice Cream;549;Delivered;ST;07;03;07/03
.1~42;42;A5;08;01;08/01;12/03/2021 00:00;15;71;4500000830;V04;AA-T01;Milk;487;Delivered;ST;08;03;08/03
.1~43;43;A5;08;01;08/01;12/03/2021 00:00;15;71;4500000830;V04;AA-T02;Cream;118;Delivered;ST;08;03;08/03
.1~44;44;A5;08;01;08/01;12/03/2021 00:00;15;71;4500000830;V04;AA-T03;Yoghurt;828;Delivered;ST;08;03;08/03
.1~45;45;A5;08;01;08/01;12/03/2021 00:00;15;71;4500000830;V04;AA-T04;Cheese;666;Delivered;ST;08;03;08/03
.1~46;46;A5;08;01;08/01;12/03/2021 00:00;15;71;4500000830;V04;AA-T05;Butter;90;Delivered;ST;08;03;08/03
.1~47;47;A5;08;01;08/01;12/03/2021 00:00;15;71;4500000830;V04;AA-T06;Ice Cream;254;Delivered;ST;08;03;08/03
.1~48;48;B5;01;01;01/01;01/01/2021 00:00;1;1;4500000759;V04;BB-T01;Milk;1550;Delivered;ST;01;02;01/02
.1~49;49;B5;01;01;01/01;01/01/2021 00:00;1;1;4500000759;V04;BB-T02;Cream;600;Delivered;ST;01;02;01/02
.1~50;50;B5;01;01;01/01;01/01/2021 00:00;1;1;4500000759;V04;BB-T03;Yoghurt;1375;Delivered;ST;01;02;01/02
.1~51;51;B5;01;01;01/01;01/01/2021 00:00;1;1;4500000759;V04;BB-T04;Cheese;750;Delivered;ST;01;02;01/02
.1~52;52;B5;01;01;01/01;01/01/2021 00:00;1;1;4500000759;V04;BB-T05;Butter;825;Delivered;ST;01;02;01/02
.1~53;53;B5;01;01;01/01;01/01/2021 00:00;1;1;4500000759;V04;BB-T06;Ice Cream;750;Delivered;ST;01;02;01/02
.1~54;54;B5;01;10;01/10;10/01/2021 00:00;2;10;4500000764;V04;BB-T01;Milk;924;Delivered;ST;02;01;02/01
.1~55;55;B5;01;10;01/10;10/01/2021 00:00;2;10;4500000764;V04;BB-T02;Cream;45;Delivered;ST;02;01;02/01
.1~56;56;B5;01;10;01/10;10/01/2021 00:00;2;10;4500000764;V04;BB-T03;Yoghurt;1123;Delivered;ST;02;01;02/01
