ID;ROW_NUMBER;SALES_ORGANIZATION;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;SALES_ORDER_NUMBER;LINE_ITEM;STORAGE_LOCATION;REGION;AREA;CITY;COUNTRY;POSTAL_CODE;CUSTOMER_NUMBER;DISTRIBUTION_CHANNEL;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;QUANTITY;QUANTITY_DELIVERED;UNIT;NET_PRICE;NET_VALUE;COST;CURRENCY;CONTRIBUTION_MARGIN;CONTRIBUTION_MARGIN_PCT
.1~2;2;A5;01;04;01/04;04/01/2021 00:00;1;4;10881;6;03N;Saxony;North;DRESDEN;Germany;01157;80297;16;AA-T05;Butter;Trading Goods;T05;;Butter;23;23;ST;70;1610;1383,91;EUR;226,09;0,14
.1~6222;6222;H5;08;10;08/10;21/03/2021 00:00;16;80;13353;2;03S;Bavaria;South;MÜNCHEN;Germany;80997;80299;16;HH-T05;Butter;Trading Goods;T05;;Butter;4;4;ST;63,6;254,4;242,16;EUR;12,24;0,05
.1~6219;6219;H5;08;10;08/10;21/03/2021 00:00;16;80;13358;1;03N;Berlin;North;BERLIN;Germany;13129;80294;16;HH-T05;Butter;Trading Goods;T05;;Butter;30;30;ST;63,6;1908;1816,2;EUR;91,8;0,05
.1~6218;6218;H5;08;10;08/10;21/03/2021 00:00;16;80;13347;1;03N;Bremen;North;BREMEN;Germany;28197;80296;16;HH-T05;Butter;Trading Goods;T05;;Butter;31;31;ST;63,6;1971,6;1876,74;EUR;94,86;0,05
.1~6216;6216;H5;08;09;08/09;20/03/2021 00:00;16;79;13328;3;03W;Nrth Rhine Westfalia;West;ESSEN;Germany;45128;80304;16;HH-T05;Butter;Trading Goods;T05;;Butter;31;31;ST;65,3;2024,3;1876,74;EUR;147,56;0,07
.1~6209;6209;H5;08;09;08/09;20/03/2021 00:00;16;79;13316;2;03N;Berlin;North;BERLIN;Germany;13129;80294;16;HH-T05;Butter;Trading Goods;T05;;Butter;36;36;ST;65,3;2350,8;2179,44;EUR;171,36;0,07
.1~6208;6208;H5;08;09;08/09;20/03/2021 00:00;16;79;13322;1;03N;Bremen;North;BREMEN;Germany;28197;80296;16;HH-T05;Butter;Trading Goods;T05;;Butter;36;36;ST;65,3;2350,8;2179,44;EUR;171,36;0,07
.1~6185;6185;H5;08;06;08/06;17/03/2021 00:00;16;76;13200;1;03N;Berlin;North;BERLIN;Germany;13129;80294;16;HH-T05;Butter;Trading Goods;T05;;Butter;30;30;ST;65,8;1974;1816,2;EUR;157,8;0,08
.1~6184;6184;H5;08;05;08/05;16/03/2021 00:00;15;75;13177;1;03W;Nrth Rhine Westfalia;West;DÜSSELDORF;Germany;40234;80303;16;HH-T05;Butter;Trading Goods;T05;;Butter;36;36;ST;65,8;2368,8;2179,44;EUR;189,36;0,08
.1~6181;6181;H5;08;05;08/05;16/03/2021 00:00;15;75;13165;1;03N;Hamburg;North;HAMBURG;Germany;22769;80295;16;HH-T05;Butter;Trading Goods;T05;;Butter;30;30;ST;65,8;1974;1816,2;EUR;157,8;0,08
