ID;ROW_NUMBER;PURCHASING_ORGANIZATION;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;VENDOR_CODE;VENDOR_NAME;NET_PRICE;CURRENCY
.1~1;1;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~2;2;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~3;3;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~4;4;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~5;5;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~6;6;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~7;7;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~8;8;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~9;9;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~10;10;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~11;11;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~12;12;A5;01;01;01/01;01/01/2021 00:00;1;1;AA-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~13;13;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~14;14;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~15;15;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~16;16;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~17;17;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~18;18;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~19;19;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~20;20;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~21;21;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~22;22;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~23;23;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~24;24;A5;01;02;01/02;02/01/2021 00:00;1;2;AA-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~25;25;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~26;26;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~27;27;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~28;28;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~29;29;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~30;30;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~31;31;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~32;32;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~33;33;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~34;34;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~35;35;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~36;36;A5;01;03;01/03;03/01/2021 00:00;1;3;AA-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~37;37;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~38;38;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~39;39;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~40;40;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~41;41;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~42;42;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~43;43;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~44;44;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~45;45;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~46;46;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~47;47;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
.1~48;48;A5;01;04;01/04;04/01/2021 00:00;1;4;AA-T06;Ice Cream;Trading Goods;V08;Nordik Dairy Company;40,99;EUR
.1~49;49;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T01;Milk;Trading Goods;V04;Dairy Cooperative;22,95;EUR
.1~50;50;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T01;Milk;Trading Goods;V08;Nordik Dairy Company;21,8;EUR
.1~51;51;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T02;Cream;Trading Goods;V04;Dairy Cooperative;72,07;EUR
.1~52;52;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T02;Cream;Trading Goods;V08;Nordik Dairy Company;68,47;EUR
.1~53;53;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T03;Yoghurt;Trading Goods;V04;Dairy Cooperative;25,85;EUR
.1~54;54;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T03;Yoghurt;Trading Goods;V08;Nordik Dairy Company;24,56;EUR
.1~55;55;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T04;Cheese;Trading Goods;V04;Dairy Cooperative;82,68;EUR
.1~56;56;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T04;Cheese;Trading Goods;V08;Nordik Dairy Company;78,55;EUR
.1~57;57;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T05;Butter;Trading Goods;V04;Dairy Cooperative;59,88;EUR
.1~58;58;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T05;Butter;Trading Goods;V08;Nordik Dairy Company;56,89;EUR
.1~59;59;A5;01;05;01/05;05/01/2021 00:00;1;5;AA-T06;Ice Cream;Trading Goods;V04;Dairy Cooperative;43,15;EUR
