ID;ROW_NUMBER;COMPANY_CODE;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;BANK_CASH_ACCOUNT;ACCOUNTS_RECEIVABLE;BANK_LOAN;ACCOUNTS_PAYABLE;PROFIT;SETUP_TIME_INVESTMENT;DEBT_LOADING;CREDIT_RATING;COMPANY_RISK_RATE_PCT;MARKET_RISK_RATE_PCT;COMPANY_VALUATION;CURRENCY
.1~1;1;A9;01;01;01/01;01/01/2021 00:00;1;1;121346,5;0;0;0;-300;0;-121346,5;AAA+;3;7;-240000;EUR
.1~2;2;A9;01;02;01/02;02/01/2021 00:00;1;2;121346,5;10348,15;0;0;1430,09;0;-131694,65;AAA+;3;7;572036;EUR
.1~3;3;A9;01;03;01/03;03/01/2021 00:00;1;3;121046,5;25962,46;0;0;3748,39;0;-147008,96;AAA+;3;7;999570,67;EUR
.1~4;4;A9;01;04;01/04;04/01/2021 00:00;1;4;121046,5;31483,87;0;0;4670,82;0;-152530,37;AAA+;3;7;934164;EUR
.1~5;5;A9;01;05;01/05;05/01/2021 00:00;1;5;120746,5;40997,58;0;0;6680,72;0;-161744,08;AAA+;3;7;1068915,2;EUR
.1~6;6;A9;01;06;01/06;06/01/2021 00:00;2;6;131094,65;34392,35;0;0;7725,16;0;-165487;AAA+;3;7;1030021,33;EUR
.1~7;7;A9;01;07;01/07;07/01/2021 00:00;2;7;146708,96;20708,44;0;0;8264,02;0;-167417,4;AAA+;3;7;944459,43;EUR
.1~8;8;A9;01;08;01/08;08/01/2021 00:00;2;8;151930,37;16101,73;0;-128353,5;8184,81;0;-39678,6;AAA+;3;7;818481;EUR
.1~9;9;A9;01;09;01/09;09/01/2021 00:00;2;9;161444,08;10353,78;0;-128353,5;9003,29;0;-43444,36;AAA+;3;7;800292,44;EUR
.1~10;10;A9;01;10;01/10;10/01/2021 00:00;2;10;164837;14291,66;0;-128353,5;10334,65;0;-50775,16;AAA+;3;7;826772;EUR
.1~11;11;B9;01;01;01/01;01/01/2021 00:00;1;1;121346,5;0;0;0;-300;0;-121346,5;AAA+;3;7;-240000;EUR
.1~12;12;B9;01;02;01/02;02/01/2021 00:00;1;2;121346,5;20356,49;0;0;2626,74;0;-141702,99;AAA+;3;7;1050696;EUR
.1~13;13;B9;01;03;01/03;03/01/2021 00:00;1;3;121346,5;33054,85;0;0;4462,18;0;-154401,35;AAA+;3;7;1189914,67;EUR
.1~14;14;B9;01;04;01/04;04/01/2021 00:00;1;4;121046,5;40896,21;0;0;5297,58;0;-161942,71;AAA+;3;7;1059516;EUR
.1~15;15;B9;01;05;01/05;05/01/2021 00:00;1;5;121046,5;57276,78;0;0;7652,55;0;-178323,28;AAA+;3;7;1224408;EUR
.1~16;16;B9;01;06;01/06;06/01/2021 00:00;2;6;141402,99;45241,59;0;0;8849,17;0;-186644,58;AAA+;3;7;1179889,33;EUR
.1~17;17;B9;01;07;01/07;07/01/2021 00:00;2;7;153901,35;44242,97;0;0;10331,04;0;-198144,32;AAA+;3;7;1180690,29;EUR
.1~18;18;B9;01;08;01/08;08/01/2021 00:00;2;8;161742,71;47438,47;0;-128353,5;11926,32;0;-80827,68;AAA+;3;7;1192632;EUR
.1~19;19;B9;01;09;01/09;09/01/2021 00:00;2;9;177823,28;36535,08;0;-128353,5;12425,58;0;-86004,86;AAA+;3;7;1104496;EUR
.1~20;20;B9;01;10;01/10;10/01/2021 00:00;2;10;186094,58;41710,3;0;-128353,5;14328,1;0;-99451,38;AAA+;3;7;1146248;EUR
.1~21;21;C9;01;01;01/01;01/01/2021 00:00;1;1;121346,5;0;0;0;-300;0;-121346,5;AAA+;3;7;-240000;EUR
.1~22;22;C9;01;02;01/02;02/01/2021 00:00;1;2;121346,5;3303,68;0;0;481,33;0;-124650,18;AAA+;3;7;192532;EUR
.1~23;23;C9;01;03;01/03;03/01/2021 00:00;1;3;121046,5;4970,18;0;0;575,67;0;-126016,68;AAA+;3;7;153512;EUR
.1~24;24;C9;01;04;01/04;04/01/2021 00:00;1;4;121046,5;11399,68;0;0;2096,27;0;-132446,18;AAA+;3;7;419254;EUR
.1~25;25;C9;01;05;01/05;05/01/2021 00:00;1;5;121046,5;23366,52;0;0;4926,73;0;-144413,02;AAA+;3;7;788276,8;EUR
.1~26;26;C9;01;06;01/06;06/01/2021 00:00;2;6;124350,18;24790,72;0;0;6045,39;0;-149140,9;AAA+;3;7;806052;EUR
.1~27;27;C9;01;07;01/07;07/01/2021 00:00;2;7;126016,68;34781,2;0;0;8368,31;0;-160797,88;AAA+;3;7;956378,29;EUR
.1~28;28;C9;01;08;01/08;08/01/2021 00:00;2;8;132146,18;56670,56;0;-128353,5;9323,33;0;-60463,24;AAA+;3;7;932333;EUR
.1~29;29;C9;01;09;01/09;09/01/2021 00:00;2;9;144113,02;76841,59;0;-128353,5;13342,56;0;-92601,11;AAA+;3;7;1186005,33;EUR
.1~30;30;C9;01;10;01/10;10/01/2021 00:00;2;10;148440,9;83211,68;0;-128353,5;13742,54;0;-103299,08;AAA+;3;7;1099403,2;EUR
.1~31;31;D9;01;01;01/01;01/01/2021 00:00;1;1;121346,5;0;0;0;-300;0;-121346,5;AAA+;3;7;-240000;EUR
.1~32;32;D9;01;02;01/02;02/01/2021 00:00;1;2;121346,5;12240,8;0;0;2188,64;0;-133587,3;AAA+;3;7;875456;EUR
.1~33;33;D9;01;03;01/03;03/01/2021 00:00;1;3;121346,5;21189,6;0;0;4006,28;0;-142536,1;AAA+;3;7;1068341,33;EUR
.1~34;34;D9;01;04;01/04;04/01/2021 00:00;1;4;121346,5;33933,19;0;0;6597,17;0;-155279,69;AAA+;3;7;1319434;EUR
.1~35;35;D9;01;05;01/05;05/01/2021 00:00;1;5;121346,5;46967,31;0;0;9248,29;0;-168313,81;AAA+;3;7;1479726,4;EUR
.1~36;36;D9;01;06;01/06;06/01/2021 00:00;2;6;133287,3;35045,95;0;0;9013,3;0;-168333,25;AAA+;3;7;1201773,33;EUR
.1~37;37;D9;01;07;01/07;07/01/2021 00:00;2;7;142236,1;26708,89;0;0;9124,7;0;-168944,99;AAA+;3;7;1042822,86;EUR
.1~38;38;D9;01;08;01/08;08/01/2021 00:00;2;8;154979,69;15504,42;0;-128353,5;9437,92;0;-42130,61;AAA+;3;7;943792;EUR
.1~39;39;D9;01;09;01/09;09/01/2021 00:00;2;9;168013,81;2624,75;0;-128353,5;9462,11;0;-42285,06;AAA+;3;7;841076,44;EUR
