ID;ROW_NUMBER;COMPANY_CODE;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;GL_ACCOUNT_NUMBER;GL_ACCOUNT_NAME;FS_LEVEL_1;FS_LEVEL_2;FS_LEVEL_3;FS_LEVEL_4;DEBIT_CREDIT_INDICATOR;AMOUNT_ABS;AMOUNT;AMOUNT_INV;AMOUNT_BS;AMOUNT_IS;CURRENCY
.1~13;13;A9;01;02;01/02;02/01/2021 00:00;1;2;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;10348,15;10348,15;-10348,15;10348.15;0.00;EUR
.1~18;18;A9;01;03;01/03;03/01/2021 00:00;1;3;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;15614,31;15614,31;-15614,31;15614.31;0.00;EUR
.1~23;23;A9;01;04;01/04;04/01/2021 00:00;1;4;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;5521,41;5521,41;-5521,41;5521.41;0.00;EUR
.1~28;28;A9;01;05;01/05;05/01/2021 00:00;1;5;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;9513,71;9513,71;-9513,71;9513.71;0.00;EUR
.1~34;34;A9;01;06;01/06;06/01/2021 00:00;2;6;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;10348,15;-10348,15;10348,15;-10348.15;0.00;EUR
.1~35;35;A9;01;06;01/06;06/01/2021 00:00;2;6;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;3742,92;3742,92;-3742,92;3742.92;0.00;EUR
.1~40;40;A9;01;07;01/07;07/01/2021 00:00;2;7;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;15614,31;-15614,31;15614,31;-15614.31;0.00;EUR
.1~41;41;A9;01;07;01/07;07/01/2021 00:00;2;7;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;1930,4;1930,4;-1930,4;1930.40;0.00;EUR
.1~47;47;A9;01;08;01/08;08/01/2021 00:00;2;8;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;5521,41;-5521,41;5521,41;-5521.41;0.00;EUR
.1~48;48;A9;01;08;01/08;08/01/2021 00:00;2;8;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;914,7;914,7;-914,7;914.70;0.00;EUR
.1~60;60;A9;01;09;01/09;09/01/2021 00:00;2;9;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;9513,71;-9513,71;9513,71;-9513.71;0.00;EUR
.1~61;61;A9;01;09;01/09;09/01/2021 00:00;2;9;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;3765,76;3765,76;-3765,76;3765.76;0.00;EUR
.1~67;67;A9;01;10;01/10;10/01/2021 00:00;2;10;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;3742,92;-3742,92;3742,92;-3742.92;0.00;EUR
.1~68;68;A9;01;10;01/10;10/01/2021 00:00;2;10;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;7680,8;7680,8;-7680,8;7680.80;0.00;EUR
