ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;EVENT_TYPE;DOCUMENT_TYPE;MOVEMENT_TYPE;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;DEBIT_CREDIT_INDICATOR;UNIT;QUANTITY_ABS;QUANTITY
.1~426;426;D9;01;01;01/01;01/01/2021 00:00;1;1;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;DD-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;100;100
.1~286;286;C9;01;01;01/01;01/01/2021 00:00;1;1;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;CC-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;95;95
.1~11;11;A9;01;01;01/01;01/01/2021 00:00;1;1;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;AA-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;60;60
.1~296;296;C9;01;01;01/01;01/01/2021 00:00;1;1;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;CC-T04;Cheese;Trading Goods;T04;;Cheese;Debit;ST;105;105
.1~171;171;B9;01;01;01/01;01/01/2021 00:00;1;1;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;BB-T04;Cheese;Trading Goods;T04;;Cheese;Debit;ST;75;75
.1~176;176;B9;01;01;01/01;01/01/2021 00:00;1;1;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;BB-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;50;50
.1~438;438;D9;01;01;01/01;01/01/2021 00:00;1;1;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;DD-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;130;130
.1~435;435;D9;01;01;01/01;01/01/2021 00:00;1;1;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;DD-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;130;130
.1~18;18;A9;01;01;01/01;01/01/2021 00:00;1;1;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;120;120
.1~419;419;D9;01;01;01/01;01/01/2021 00:00;1;1;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;DD-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;310;310
.1~423;423;D9;01;01;01/01;01/01/2021 00:00;1;1;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;DD-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;100;100
.1~162;162;B9;01;01;01/01;01/01/2021 00:00;1;1;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;BB-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;80;80
.1~161;161;B9;01;01;01/01;01/01/2021 00:00;1;1;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;BB-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;80;80
.1~22;22;A9;01;01;01/01;01/01/2021 00:00;1;1;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;AA-T04;Cheese;Trading Goods;T04;;Cheese;Debit;ST;50;50
