ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;INVENTORY_OPENING_BALANCE;UNIT
.1~1076;1076;E9;01;01;01/01;01/01/2021 00:00;1;1;03W;EE-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~1070;1070;E9;01;01;01/01;01/01/2021 00:00;1;1;03S;EE-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~20;20;A9;01;01;01/01;01/01/2021 00:00;1;1;03W;AA-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~14;14;A9;01;01;01/01;01/01/2021 00:00;1;1;03S;AA-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~1064;1064;E9;01;01;01/01;01/01/2021 00:00;1;1;03N;EE-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~548;548;C9;01;01;01/01;01/01/2021 00:00;1;1;03W;CC-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~542;542;C9;01;01;01/01;01/01/2021 00:00;1;1;03S;CC-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~536;536;C9;01;01;01/01;01/01/2021 00:00;1;1;03N;CC-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~278;278;B9;01;01;01/01;01/01/2021 00:00;1;1;03S;BB-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~284;284;B9;01;01;01/01;01/01/2021 00:00;1;1;03W;BB-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~8;8;A9;01;01;01/01;01/01/2021 00:00;1;1;03N;AA-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~272;272;B9;01;01;01/01;01/01/2021 00:00;1;1;03N;BB-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~812;812;D9;01;01;01/01;01/01/2021 00:00;1;1;03W;DD-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~806;806;D9;01;01;01/01;01/01/2021 00:00;1;1;03S;DD-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~800;800;D9;01;01;01/01;01/01/2021 00:00;1;1;03N;DD-T02;Cream;Trading Goods;T02;;Cream;0;ST
.1~18;18;A9;01;01;01/01;01/01/2021 00:00;1;1;03S;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~288;288;B9;01;01;01/01;01/01/2021 00:00;1;1;03W;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~282;282;B9;01;01;01/01;01/01/2021 00:00;1;1;03S;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~276;276;B9;01;01;01/01;01/01/2021 00:00;1;1;03N;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~12;12;A9;01;01;01/01;01/01/2021 00:00;1;1;03N;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~804;804;D9;01;01;01/01;01/01/2021 00:00;1;1;03N;DD-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~810;810;D9;01;01;01/01;01/01/2021 00:00;1;1;03S;DD-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~816;816;D9;01;01;01/01;01/01/2021 00:00;1;1;03W;DD-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~1068;1068;E9;01;01;01/01;01/01/2021 00:00;1;1;03N;EE-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~540;540;C9;01;01;01/01;01/01/2021 00:00;1;1;03N;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~546;546;C9;01;01;01/01;01/01/2021 00:00;1;1;03S;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~552;552;C9;01;01;01/01;01/01/2021 00:00;1;1;03W;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~24;24;A9;01;01;01/01;01/01/2021 00:00;1;1;03W;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
.1~1080;1080;E9;01;01;01/01;01/01/2021 00:00;1;1;03W;EE-T06;Ice Cream;Trading Goods;T06;;Ice Cream;0;ST
