ID;ROW_NUMBER;COMPANY_CODE;SALES_ORGANIZATION;SIM_ROUND;SIM_PERIOD;MATERIAL_DESCRIPTION;DISTRIBUTION_CHANNEL;AREA;QUANTITY;UNIT;AVERAGE_PRICE;NET_VALUE;CURRENCY
.1~8;8;A9;Company;01;1;Cheese;16;North;0;;0;0;
.1~12;12;A9;Company;01;1;Cheese;16;West;0;;0;0;
.1~14;14;A9;Company;01;1;Cream;16;North;0;;0;0;
.1~28;28;A9;Company;01;1;Milk;16;West;0;;0;0;
.1~34;34;A9;Company;01;1;Yoghurt;16;West;0;;0;0;
.1~38;38;A9;Company;01;2;Butter;16;South;0;;0;0;
.1~40;40;A9;Company;01;2;Butter;16;West;0;;0;0;
.1~42;42;A9;Company;01;2;Cheese;16;North;0;;0;0;
.1~44;44;A9;Company;01;2;Cheese;16;South;0;;0;0;
.1~46;46;A9;Company;01;2;Cheese;16;West;0;;0;0;
.1~48;48;A9;Company;01;2;Cream;16;North;0;;0;0;
.1~52;52;A9;Company;01;2;Cream;16;West;0;;0;0;
.1~58;58;A9;Company;01;2;Ice Cream;16;West;0;;0;0;
.1~64;64;A9;Company;01;2;Milk;16;West;0;;0;0;
.1~70;70;A9;Company;01;2;Yoghurt;16;West;0;;0;0;
.1~76;76;B9;Company;01;1;Butter;16;West;0;;0;0;
.1~110;110;B9;Company;01;2;Butter;16;West;0;;0;0;
.1~112;112;B9;Company;01;2;Cheese;16;North;0;;0;0;
.1~114;114;B9;Company;01;2;Cheese;16;South;0;;0;0;
.1~118;118;B9;Company;01;2;Cream;16;North;0;;0;0;
.1~124;124;B9;Company;01;2;Ice Cream;16;North;0;;0;0;
.1~128;128;B9;Company;01;2;Ice Cream;16;West;0;;0;0;
.1~142;142;C9;Company;01;1;Butter;16;North;0;;0;0;
.1~144;144;C9;Company;01;1;Butter;16;South;0;;0;0;
.1~146;146;C9;Company;01;1;Butter;16;West;0;;0;0;
.1~148;148;C9;Company;01;1;Cheese;16;North;0;;0;0;
.1~150;150;C9;Company;01;1;Cheese;16;South;0;;0;0;
.1~154;154;C9;Company;01;1;Cream;16;North;0;;0;0;
.1~156;156;C9;Company;01;1;Cream;16;South;0;;0;0;
.1~162;162;C9;Company;01;1;Ice Cream;16;West;0;;0;0;
.1~166;166;C9;Company;01;1;Milk;16;South;0;;0;0;
.1~170;170;C9;Company;01;1;Yoghurt;16;North;0;;0;0;
.1~174;174;C9;Company;01;1;Yoghurt;16;West;0;;0;0;
.1~196;196;C9;Company;01;2;Ice Cream;16;South;0;;0;0;
.1~202;202;C9;Company;01;2;Milk;16;South;0;;0;0;
.1~216;216;D9;Company;01;1;Butter;16;West;0;;0;0;
.1~218;218;D9;Company;01;1;Cheese;16;North;0;;0;0;
.1~220;220;D9;Company;01;1;Cheese;16;South;0;;0;0;
.1~222;222;D9;Company;01;1;Cheese;16;West;0;;0;0;
.1~224;224;D9;Company;01;1;Cream;16;North;0;;0;0;
.1~226;226;D9;Company;01;1;Cream;16;South;0;;0;0;
.1~232;232;D9;Company;01;1;Ice Cream;16;West;0;;0;0;
.1~244;244;D9;Company;01;1;Yoghurt;16;West;0;;0;0;
.1~246;246;D9;Company;01;2;Butter;16;North;0;;0;0;
.1~248;248;D9;Company;01;2;Butter;16;South;0;;0;0;
.1~250;250;D9;Company;01;2;Butter;16;West;0;;0;0;
.1~252;252;D9;Company;01;2;Cheese;16;North;0;;0;0;
.1~254;254;D9;Company;01;2;Cheese;16;South;0;;0;0;
.1~256;256;D9;Company;01;2;Cheese;16;West;0;;0;0;
.1~258;258;D9;Company;01;2;Cream;16;North;0;;0;0;
.1~262;262;D9;Company;01;2;Cream;16;West;0;;0;0;
.1~264;264;D9;Company;01;2;Ice Cream;16;North;0;;0;0;
.1~266;266;D9;Company;01;2;Ice Cream;16;South;0;;0;0;
.1~268;268;D9;Company;01;2;Ice Cream;16;West;0;;0;0;
.1~272;272;D9;Company;01;2;Milk;16;South;0;;0;0;
