ID;ROW_NUMBER;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;PLANT;TYPE;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;CUSTOMER_NUMBER;COUNTRY;CITY;POSTAL_CODE;REGION;AREA;DISTRIBUTION_CHANNEL;SCORE_0;SCORE_1;SCORE_2;SCORE_3;SCORE_4;SCORE_5;SCORE_6;SCORE_7;SCORE_8;SCORE_9;SCORE_10
.1~5;5;1;2;01-févr;02/01/2021 00:00;1;2;A9;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80300;Germany;NÜRNBERG;90455;Bavaria;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~9;9;1;2;01-févr;02/01/2021 00:00;1;2;A9;Non-buyer;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80294;Germany;BERLIN;13129;Berlin;North;16;0;0;0;0;0;1;1;1;0;0;0
.1~18;18;1;2;01-févr;02/01/2021 00:00;1;2;A9;Non-buyer;AA-T05;Butter;Trading Goods;T05;;Butter;80299;Germany;MÜNCHEN;80997;Bavaria;South;16;0;0;0;0;0;1;1;0;0;0;0
.1~23;23;1;2;01-févr;02/01/2021 00:00;1;2;A9;Non-buyer;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80305;Germany;SAARBRÜCKEN;66111;Saarland;West;16;0;0;0;0;0;1;1;1;0;0;0
.1~32;32;1;3;01-mars;03/01/2021 00:00;1;3;A9;Non-buyer;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80299;Germany;MÜNCHEN;80997;Bavaria;South;16;0;0;0;0;0;1;1;0;0;0;0
.1~42;42;1;3;01-mars;03/01/2021 00:00;1;3;A9;Non-buyer;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80304;Germany;ESSEN;45128;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;1;0;0;0
.1~46;46;1;4;01-avr;04/01/2021 00:00;1;4;A9;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80298;Germany;STUTTGART;70178;Baden-Wurttemberg;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~66;66;1;5;01-mai;05/01/2021 00:00;1;5;A9;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80300;Germany;NÜRNBERG;90455;Bavaria;South;16;0;0;0;0;0;1;1;0;0;0;0
.1~67;67;1;5;01-mai;05/01/2021 00:00;1;5;A9;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80301;Germany;FRANKFURT/MAIN;60314;Hessen;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~87;87;1;6;01-juin;06/01/2021 00:00;2;6;A9;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80304;Germany;ESSEN;45128;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;1;0;0;0
.1~97;97;1;6;01-juin;06/01/2021 00:00;2;6;A9;Non-buyer;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80298;Germany;STUTTGART;70178;Baden-Wurttemberg;South;16;0;0;0;0;0;1;1;0;0;0;0
.1~99;99;1;7;01-juil;07/01/2021 00:00;2;7;A9;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80295;Germany;HAMBURG;22769;Hamburg;North;16;0;0;0;0;0;1;1;0;0;0;0
.1~100;100;1;7;01-juil;07/01/2021 00:00;2;7;A9;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80296;Germany;BREMEN;28197;Bremen;North;16;0;0;0;0;0;1;1;1;0;0;0
.1~102;102;1;7;01-juil;07/01/2021 00:00;2;7;A9;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80300;Germany;NÜRNBERG;90455;Bavaria;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~112;112;1;8;01-août;08/01/2021 00:00;2;8;A9;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80301;Germany;FRANKFURT/MAIN;60314;Hessen;South;16;0;0;0;0;0;1;1;0;0;0;0
.1~141;141;1;9;01-sept;09/01/2021 00:00;2;9;A9;Non-buyer;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80299;Germany;MÜNCHEN;80997;Bavaria;South;16;0;0;0;0;0;1;1;0;0;0;0
.1~142;142;1;9;01-sept;09/01/2021 00:00;2;9;A9;Non-buyer;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80301;Germany;FRANKFURT/MAIN;60314;Hessen;South;16;0;0;0;0;0;1;1;0;0;0;0
.1~144;144;1;9;01-sept;09/01/2021 00:00;2;9;A9;Non-buyer;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80305;Germany;SAARBRÜCKEN;66111;Saarland;West;16;0;0;0;0;0;1;1;0;0;0;0
.1~147;147;1;10;01-oct;10/01/2021 00:00;2;10;A9;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80299;Germany;MÜNCHEN;80997;Bavaria;South;16;0;0;0;0;0;1;1;0;0;0;0
.1~148;148;1;10;01-oct;10/01/2021 00:00;2;10;A9;Non-buyer;AA-T01;Milk;Trading Goods;T01;;Milk;80301;Germany;FRANKFURT/MAIN;60314;Hessen;South;16;0;0;0;0;0;1;1;0;0;0;0
.1~152;152;1;10;01-oct;10/01/2021 00:00;2;10;A9;Non-buyer;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80295;Germany;HAMBURG;22769;Hamburg;North;16;0;0;0;0;0;1;1;1;0;0;0
.1~177;177;1;2;01-févr;02/01/2021 00:00;1;2;B9;Non-buyer;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80303;Germany;DÜSSELDORF;40234;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;1;0;0;0
.1~178;178;1;2;01-févr;02/01/2021 00:00;1;2;B9;Non-buyer;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80305;Germany;SAARBRÜCKEN;66111;Saarland;West;16;0;0;0;0;0;1;1;0;0;0;0
.1~182;182;1;2;01-févr;02/01/2021 00:00;1;2;B9;Non-buyer;BB-T05;Butter;Trading Goods;T05;;Butter;80299;Germany;MÜNCHEN;80997;Bavaria;South;16;0;0;0;0;0;1;1;0;0;0;0
.1~200;200;1;3;01-mars;03/01/2021 00:00;1;3;B9;Non-buyer;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80299;Germany;MÜNCHEN;80997;Bavaria;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~211;211;1;3;01-mars;03/01/2021 00:00;1;3;B9;Non-buyer;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80304;Germany;ESSEN;45128;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;0;0;0;0
.1~212;212;1;4;01-avr;04/01/2021 00:00;1;4;B9;Non-buyer;BB-T01;Milk;Trading Goods;T01;;Milk;80298;Germany;STUTTGART;70178;Baden-Wurttemberg;South;16;0;0;0;0;0;1;1;0;0;0;0
.1~233;233;1;5;01-mai;05/01/2021 00:00;1;5;B9;Non-buyer;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80300;Germany;NÜRNBERG;90455;Bavaria;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~236;236;1;5;01-mai;05/01/2021 00:00;1;5;B9;Non-buyer;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80303;Germany;DÜSSELDORF;40234;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;0;0;0;0
.1~239;239;1;5;01-mai;05/01/2021 00:00;1;5;B9;Non-buyer;BB-T05;Butter;Trading Goods;T05;;Butter;80300;Germany;NÜRNBERG;90455;Bavaria;South;16;0;0;0;0;0;1;1;0;0;0;0
.1~258;258;1;6;01-juin;06/01/2021 00:00;2;6;B9;Non-buyer;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80305;Germany;SAARBRÜCKEN;66111;Saarland;West;16;0;0;0;0;0;1;1;1;0;0;0
.1~282;282;1;8;01-août;08/01/2021 00:00;2;8;B9;Non-buyer;BB-T01;Milk;Trading Goods;T01;;Milk;80298;Germany;STUTTGART;70178;Baden-Wurttemberg;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~291;291;1;8;01-août;08/01/2021 00:00;2;8;B9;Non-buyer;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80303;Germany;DÜSSELDORF;40234;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;0;0;0;0
.1~292;292;1;8;01-août;08/01/2021 00:00;2;8;B9;Non-buyer;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80304;Germany;ESSEN;45128;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;0;0;0;0
.1~301;301;1;8;01-août;08/01/2021 00:00;2;8;B9;Non-buyer;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80304;Germany;ESSEN;45128;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;1;0;0;0
.1~303;303;1;9;01-sept;09/01/2021 00:00;2;9;B9;Non-buyer;BB-T01;Milk;Trading Goods;T01;;Milk;80301;Germany;FRANKFURT/MAIN;60314;Hessen;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~306;306;1;9;01-sept;09/01/2021 00:00;2;9;B9;Non-buyer;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80301;Germany;FRANKFURT/MAIN;60314;Hessen;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~312;312;1;9;01-sept;09/01/2021 00:00;2;9;B9;Non-buyer;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80305;Germany;SAARBRÜCKEN;66111;Saarland;West;16;0;0;0;0;0;1;1;0;0;0;0
.1~332;332;1;10;01-oct;10/01/2021 00:00;2;10;B9;Non-buyer;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80295;Germany;HAMBURG;22769;Hamburg;North;16;0;0;0;0;0;1;1;1;0;0;0
.1~333;333;1;10;01-oct;10/01/2021 00:00;2;10;B9;Non-buyer;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80296;Germany;BREMEN;28197;Bremen;North;16;0;0;0;0;0;1;1;1;0;0;0
.1~335;335;1;10;01-oct;10/01/2021 00:00;2;10;B9;Non-buyer;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80301;Germany;FRANKFURT/MAIN;60314;Hessen;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~340;340;1;2;01-févr;02/01/2021 00:00;1;2;C9;Non-buyer;CC-T01;Milk;Trading Goods;T01;;Milk;80300;Germany;NÜRNBERG;90455;Bavaria;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~342;342;1;2;01-févr;02/01/2021 00:00;1;2;C9;Non-buyer;CC-T01;Milk;Trading Goods;T01;;Milk;80305;Germany;SAARBRÜCKEN;66111;Saarland;West;16;0;0;0;0;0;1;1;1;0;0;0
.1~343;343;1;2;01-févr;02/01/2021 00:00;1;2;C9;Non-buyer;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80294;Germany;BERLIN;13129;Berlin;North;16;0;0;0;0;0;1;1;0;0;0;0
.1~345;345;1;2;01-févr;02/01/2021 00:00;1;2;C9;Non-buyer;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80299;Germany;MÜNCHEN;80997;Bavaria;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~348;348;1;2;01-févr;02/01/2021 00:00;1;2;C9;Non-buyer;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80305;Germany;SAARBRÜCKEN;66111;Saarland;West;16;0;0;0;0;0;1;1;0;0;0;0
.1~356;356;1;2;01-févr;02/01/2021 00:00;1;2;C9;Non-buyer;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80305;Germany;SAARBRÜCKEN;66111;Saarland;West;16;0;0;0;0;0;1;1;0;0;0;0
.1~358;358;1;3;01-mars;03/01/2021 00:00;1;3;C9;Non-buyer;CC-T01;Milk;Trading Goods;T01;;Milk;80294;Germany;BERLIN;13129;Berlin;North;16;0;0;0;0;0;1;1;1;0;0;0
.1~365;365;1;3;01-mars;03/01/2021 00:00;1;3;C9;Non-buyer;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80294;Germany;BERLIN;13129;Berlin;North;16;0;0;0;0;0;1;1;1;0;0;0
.1~366;366;1;3;01-mars;03/01/2021 00:00;1;3;C9;Non-buyer;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80297;Germany;DRESDEN;1157;Saxony;North;16;0;0;0;0;0;1;1;1;0;0;0
.1~367;367;1;3;01-mars;03/01/2021 00:00;1;3;C9;Non-buyer;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80299;Germany;MÜNCHEN;80997;Bavaria;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~368;368;1;3;01-mars;03/01/2021 00:00;1;3;C9;Non-buyer;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;80300;Germany;NÜRNBERG;90455;Bavaria;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~374;374;1;3;01-mars;03/01/2021 00:00;1;3;C9;Non-buyer;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80297;Germany;DRESDEN;1157;Saxony;North;16;0;0;0;0;0;1;1;0;0;0;0
.1~381;381;1;4;01-avr;04/01/2021 00:00;1;4;C9;Non-buyer;CC-T01;Milk;Trading Goods;T01;;Milk;80298;Germany;STUTTGART;70178;Baden-Wurttemberg;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~388;388;1;4;01-avr;04/01/2021 00:00;1;4;C9;Non-buyer;CC-T05;Butter;Trading Goods;T05;;Butter;80298;Germany;STUTTGART;70178;Baden-Wurttemberg;South;16;0;0;0;0;0;1;1;0;0;0;0
.1~397;397;1;5;01-mai;05/01/2021 00:00;1;5;C9;Non-buyer;CC-T01;Milk;Trading Goods;T01;;Milk;80301;Germany;FRANKFURT/MAIN;60314;Hessen;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~419;419;1;6;01-juin;06/01/2021 00:00;2;6;C9;Non-buyer;CC-T01;Milk;Trading Goods;T01;;Milk;80304;Germany;ESSEN;45128;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;1;0;0;0
.1~435;435;1;7;01-juil;07/01/2021 00:00;2;7;C9;Non-buyer;CC-T01;Milk;Trading Goods;T01;;Milk;80295;Germany;HAMBURG;22769;Hamburg;North;16;0;0;0;0;0;1;1;1;0;0;0
.1~438;438;1;7;01-juil;07/01/2021 00:00;2;7;C9;Non-buyer;CC-T01;Milk;Trading Goods;T01;;Milk;80302;Germany;KÖLN;50668;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;1;0;0;0
.1~451;451;1;7;01-juil;07/01/2021 00:00;2;7;C9;Non-buyer;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80302;Germany;KÖLN;50668;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;0;0;0;0
.1~464;464;1;8;01-août;08/01/2021 00:00;2;8;C9;Non-buyer;CC-T05;Butter;Trading Goods;T05;;Butter;80295;Germany;HAMBURG;22769;Hamburg;North;16;0;0;0;0;0;1;1;0;0;0;0
.1~465;465;1;8;01-août;08/01/2021 00:00;2;8;C9;Non-buyer;CC-T05;Butter;Trading Goods;T05;;Butter;80297;Germany;DRESDEN;1157;Saxony;North;16;0;0;0;0;0;1;1;0;0;0;0
.1~466;466;1;8;01-août;08/01/2021 00:00;2;8;C9;Non-buyer;CC-T05;Butter;Trading Goods;T05;;Butter;80301;Germany;FRANKFURT/MAIN;60314;Hessen;South;16;0;0;0;0;0;1;1;1;0;0;0
.1~468;468;1;8;01-août;08/01/2021 00:00;2;8;C9;Non-buyer;CC-T05;Butter;Trading Goods;T05;;Butter;80304;Germany;ESSEN;45128;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;1;0;0;0
.1~470;470;1;8;01-août;08/01/2021 00:00;2;8;C9;Non-buyer;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80298;Germany;STUTTGART;70178;Baden-Wurttemberg;South;16;0;0;0;0;0;1;1;0;0;0;0
.1~472;472;1;8;01-août;08/01/2021 00:00;2;8;C9;Non-buyer;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;80303;Germany;DÜSSELDORF;40234;Nrth Rhine Westfalia;West;16;0;0;0;0;0;1;1;0;0;0;0
