ID;ROW_NUMBER;COMPANY_CODE;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;PURCHASING_ORDER;VENDOR;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;QUANTITY;STATUS;UNIT;GOODS_RECEIPT_ROUND;GOODS_RECEIPT_STEP;GOODS_RECEIPT_DATE
.1~1;1;A9;01;06;01/06;06/01/2021 00:00;2;6;4500000009;V04;AA-T01;Milk;950;Delivered;ST;01;08;01/08
.1~2;2;A9;01;06;01/06;06/01/2021 00:00;2;6;4500000009;V04;AA-T02;Cream;300;Delivered;ST;01;08;01/08
.1~3;3;A9;01;06;01/06;06/01/2021 00:00;2;6;4500000009;V04;AA-T03;Yoghurt;700;Delivered;ST;01;08;01/08
.1~4;4;A9;01;06;01/06;06/01/2021 00:00;2;6;4500000009;V04;AA-T04;Cheese;350;Delivered;ST;01;08;01/08
.1~5;5;A9;01;06;01/06;06/01/2021 00:00;2;6;4500000009;V04;AA-T05;Butter;400;Delivered;ST;01;08;01/08
.1~6;6;A9;01;06;01/06;06/01/2021 00:00;2;6;4500000009;V04;AA-T06;Ice Cream;300;Delivered;ST;01;08;01/08
.1~7;7;B9;01;06;01/06;06/01/2021 00:00;2;6;4500000007;V04;BB-T01;Milk;950;Delivered;ST;01;08;01/08
.1~8;8;B9;01;06;01/06;06/01/2021 00:00;2;6;4500000007;V04;BB-T02;Cream;300;Delivered;ST;01;08;01/08
.1~9;9;B9;01;06;01/06;06/01/2021 00:00;2;6;4500000007;V04;BB-T03;Yoghurt;700;Delivered;ST;01;08;01/08
.1~10;10;B9;01;06;01/06;06/01/2021 00:00;2;6;4500000007;V04;BB-T04;Cheese;350;Delivered;ST;01;08;01/08
.1~11;11;B9;01;06;01/06;06/01/2021 00:00;2;6;4500000007;V04;BB-T05;Butter;400;Delivered;ST;01;08;01/08
.1~12;12;B9;01;06;01/06;06/01/2021 00:00;2;6;4500000007;V04;BB-T06;Ice Cream;300;Delivered;ST;01;08;01/08
.1~13;13;C9;01;06;01/06;06/01/2021 00:00;2;6;4500000006;V04;CC-T01;Milk;950;Delivered;ST;01;08;01/08
.1~14;14;C9;01;06;01/06;06/01/2021 00:00;2;6;4500000006;V04;CC-T02;Cream;300;Delivered;ST;01;08;01/08
.1~15;15;C9;01;06;01/06;06/01/2021 00:00;2;6;4500000006;V04;CC-T03;Yoghurt;700;Delivered;ST;01;08;01/08
.1~16;16;C9;01;06;01/06;06/01/2021 00:00;2;6;4500000006;V04;CC-T04;Cheese;350;Delivered;ST;01;08;01/08
.1~17;17;C9;01;06;01/06;06/01/2021 00:00;2;6;4500000006;V04;CC-T05;Butter;400;Delivered;ST;01;08;01/08
.1~18;18;C9;01;06;01/06;06/01/2021 00:00;2;6;4500000006;V04;CC-T06;Ice Cream;300;Delivered;ST;01;08;01/08
.1~19;19;D9;01;06;01/06;06/01/2021 00:00;2;6;4500000005;V04;DD-T01;Milk;950;Delivered;ST;01;08;01/08
.1~20;20;D9;01;06;01/06;06/01/2021 00:00;2;6;4500000005;V04;DD-T02;Cream;300;Delivered;ST;01;08;01/08
.1~21;21;D9;01;06;01/06;06/01/2021 00:00;2;6;4500000005;V04;DD-T03;Yoghurt;700;Delivered;ST;01;08;01/08
.1~22;22;D9;01;06;01/06;06/01/2021 00:00;2;6;4500000005;V04;DD-T04;Cheese;350;Delivered;ST;01;08;01/08
.1~23;23;D9;01;06;01/06;06/01/2021 00:00;2;6;4500000005;V04;DD-T05;Butter;400;Delivered;ST;01;08;01/08
.1~24;24;D9;01;06;01/06;06/01/2021 00:00;2;6;4500000005;V04;DD-T06;Ice Cream;300;Delivered;ST;01;08;01/08
.1~25;25;E9;01;06;01/06;06/01/2021 00:00;2;6;4500000008;V04;EE-T01;Milk;950;Delivered;ST;01;08;01/08
.1~26;26;E9;01;06;01/06;06/01/2021 00:00;2;6;4500000008;V04;EE-T02;Cream;300;Delivered;ST;01;08;01/08
.1~27;27;E9;01;06;01/06;06/01/2021 00:00;2;6;4500000008;V04;EE-T03;Yoghurt;700;Delivered;ST;01;08;01/08
.1~28;28;E9;01;06;01/06;06/01/2021 00:00;2;6;4500000008;V04;EE-T04;Cheese;350;Delivered;ST;01;08;01/08
.1~29;29;E9;01;06;01/06;06/01/2021 00:00;2;6;4500000008;V04;EE-T05;Butter;400;Delivered;ST;01;08;01/08
.1~30;30;E9;01;06;01/06;06/01/2021 00:00;2;6;4500000008;V04;EE-T06;Ice Cream;300;Delivered;ST;01;08;01/08
