ID;ROW_NUMBER;SALES_ORGANIZATION;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;SALES_ORDER_NUMBER;LINE_ITEM;STORAGE_LOCATION;REGION;AREA;CITY;COUNTRY;POSTAL_CODE;CUSTOMER_NUMBER;DISTRIBUTION_CHANNEL;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;QUANTITY;QUANTITY_DELIVERED;UNIT;NET_PRICE;NET_VALUE;COST;CURRENCY;CONTRIBUTION_MARGIN;CONTRIBUTION_MARGIN_PCT
.1~109;109;C9;1;5;01-mai;05/01/2021 00:00;1;5;47;1;03W;Nrth Rhine Westfalia;West;DÜSSELDORF;Germany;40234;80303;16;CC-T01;Milk;Trading Goods;T01;;Milk;62;62;ST;30,3;1878,6;1434,06;EUR;444,54;0,24
.1~86;86;B9;1;8;01-août;08/01/2021 00:00;2;8;81;1;03W;Nrth Rhine Westfalia;West;DÜSSELDORF;Germany;40234;80303;16;BB-T02;Cream;Trading Goods;T02;;Cream;19;19;ST;85,36;1621,84;1380,16;EUR;241,68;0,15
.1~67;67;B9;1;5;01-mai;05/01/2021 00:00;1;5;46;1;03W;Nrth Rhine Westfalia;West;DÜSSELDORF;Germany;40234;80303;16;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;61;61;ST;30,42;1855,62;1589,05;EUR;266,57;0,14
.1~15;15;A9;1;3;01-mars;03/01/2021 00:00;1;3;16;1;03W;Nrth Rhine Westfalia;West;ESSEN;Germany;45128;80304;16;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;34;34;ST;52,22;1775,48;1478,66;EUR;296,82;0,17
.1~206;206;E9;1;8;01-août;08/01/2021 00:00;2;8;83;1;03W;Nrth Rhine Westfalia;West;ESSEN;Germany;45128;80304;16;EE-T01;Milk;Trading Goods;T01;;Milk;49;49;ST;31,56;1546,44;1133,37;EUR;413,07;0,27
.1~192;192;D9;1;8;01-août;08/01/2021 00:00;2;8;79;1;03W;Nrth Rhine Westfalia;West;ESSEN;Germany;45128;80304;16;DD-T01;Milk;Trading Goods;T01;;Milk;53;53;ST;29,04;1539,12;1225,89;EUR;313,23;0,2
.1~133;133;C9;1;8;01-août;08/01/2021 00:00;2;8;88;1;03W;Nrth Rhine Westfalia;West;ESSEN;Germany;45128;80304;16;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;53;53;ST;29;1537;1380,65;EUR;156,35;0,1
.1~102;102;C9;1;4;01-avr;04/01/2021 00:00;1;4;29;1;03W;Nrth Rhine Westfalia;West;ESSEN;Germany;45128;80304;16;CC-T01;Milk;Trading Goods;T01;;Milk;53;53;ST;30,3;1605,9;1225,89;EUR;380,01;0,24
.1~100;100;C9;1;3;01-mars;03/01/2021 00:00;1;3;15;1;03W;Nrth Rhine Westfalia;West;ESSEN;Germany;45128;80304;16;CC-T01;Milk;Trading Goods;T01;;Milk;55;55;ST;30,3;1666,5;1272,15;EUR;394,35;0,24
.1~85;85;B9;1;8;01-août;08/01/2021 00:00;2;8;89;1;03W;Nrth Rhine Westfalia;West;ESSEN;Germany;45128;80304;16;BB-T01;Milk;Trading Goods;T01;;Milk;53;53;ST;27,02;1432,06;1225,89;EUR;206,17;0,14
