ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;UNIT;QUANTITY
.1~127;127;C9;01;01;01/01;01/01/2021 00:00;1;1;03S;CC-T02;Cream;Trading Goods;T02;;Cream;ST;95
.1~82;82;B9;01;01;01/01;01/01/2021 00:00;1;1;03W;BB-T02;Cream;Trading Goods;T02;;Cream;ST;80
.1~83;83;B9;01;01;01/01;01/01/2021 00:00;1;1;03N;BB-T02;Cream;Trading Goods;T02;;Cream;ST;80
.1~84;84;B9;01;01;01/01;01/01/2021 00:00;1;1;03S;BB-T02;Cream;Trading Goods;T02;;Cream;ST;80
.1~189;189;D9;01;01;01/01;01/01/2021 00:00;1;1;03W;DD-T02;Cream;Trading Goods;T02;;Cream;ST;100
.1~188;188;D9;01;01;01/01;01/01/2021 00:00;1;1;03N;DD-T02;Cream;Trading Goods;T02;;Cream;ST;100
.1~187;187;D9;01;01;01/01;01/01/2021 00:00;1;1;03S;DD-T02;Cream;Trading Goods;T02;;Cream;ST;100
.1~126;126;C9;01;01;01/01;01/01/2021 00:00;1;1;03N;CC-T02;Cream;Trading Goods;T02;;Cream;ST;95
.1~125;125;C9;01;01;01/01;01/01/2021 00:00;1;1;03W;CC-T02;Cream;Trading Goods;T02;;Cream;ST;95
.1~4;4;A9;01;01;01/01;01/01/2021 00:00;1;1;03S;AA-T02;Cream;Trading Goods;T02;;Cream;ST;60
.1~5;5;A9;01;01;01/01;01/01/2021 00:00;1;1;03N;AA-T02;Cream;Trading Goods;T02;;Cream;ST;60
.1~6;6;A9;01;01;01/01;01/01/2021 00:00;1;1;03W;AA-T02;Cream;Trading Goods;T02;;Cream;ST;60
.1~137;137;C9;01;01;01/01;01/01/2021 00:00;1;1;03S;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;95
.1~96;96;B9;01;01;01/01;01/01/2021 00:00;1;1;03S;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;100
.1~16;16;A9;01;01;01/01;01/01/2021 00:00;1;1;03S;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;50
.1~17;17;A9;01;01;01/01;01/01/2021 00:00;1;1;03N;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;50
.1~18;18;A9;01;01;01/01;01/01/2021 00:00;1;1;03W;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;50
.1~201;201;D9;01;01;01/01;01/01/2021 00:00;1;1;03S;DD-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;100
.1~200;200;D9;01;01;01/01;01/01/2021 00:00;1;1;03N;DD-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;100
.1~199;199;D9;01;01;01/01;01/01/2021 00:00;1;1;03W;DD-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;100
.1~94;94;B9;01;01;01/01;01/01/2021 00:00;1;1;03W;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;100
.1~95;95;B9;01;01;01/01;01/01/2021 00:00;1;1;03N;BB-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;100
.1~139;139;C9;01;01;01/01;01/01/2021 00:00;1;1;03W;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;95
.1~138;138;C9;01;01;01/01;01/01/2021 00:00;1;1;03N;CC-T06;Ice Cream;Trading Goods;T06;;Ice Cream;ST;95
.1~124;124;C9;01;01;01/01;01/01/2021 00:00;1;1;03S;CC-T01;Milk;Trading Goods;T01;;Milk;ST;285
.1~123;123;C9;01;01;01/01;01/01/2021 00:00;1;1;03N;CC-T01;Milk;Trading Goods;T01;;Milk;ST;285
.1~122;122;C9;01;01;01/01;01/01/2021 00:00;1;1;03W;CC-T01;Milk;Trading Goods;T01;;Milk;ST;285
.1~81;81;B9;01;01;01/01;01/01/2021 00:00;1;1;03S;BB-T01;Milk;Trading Goods;T01;;Milk;ST;250
.1~80;80;B9;01;01;01/01;01/01/2021 00:00;1;1;03N;BB-T01;Milk;Trading Goods;T01;;Milk;ST;250
.1~79;79;B9;01;01;01/01;01/01/2021 00:00;1;1;03W;BB-T01;Milk;Trading Goods;T01;;Milk;ST;250
.1~186;186;D9;01;01;01/01;01/01/2021 00:00;1;1;03W;DD-T01;Milk;Trading Goods;T01;;Milk;ST;310
.1~185;185;D9;01;01;01/01;01/01/2021 00:00;1;1;03N;DD-T01;Milk;Trading Goods;T01;;Milk;ST;310
.1~184;184;D9;01;01;01/01;01/01/2021 00:00;1;1;03S;DD-T01;Milk;Trading Goods;T01;;Milk;ST;310
.1~3;3;A9;01;01;01/01;01/01/2021 00:00;1;1;03W;AA-T01;Milk;Trading Goods;T01;;Milk;ST;150
.1~2;2;A9;01;01;01/01;01/01/2021 00:00;1;1;03N;AA-T01;Milk;Trading Goods;T01;;Milk;ST;150
